Id,Scientific.Name,SpecName,Dataframe.name,Genus,Species,Accepted.Name,Family,Origin,Plant Growth Form,Dur,Start,Disp,Veg,CSR,Seed Mass,Height,Congen_Used
1,Acacia spp,Acacia.spp,Acacia_sppU_C,Acacia,spp,NA,NA,NA,Tree,,,,,,,,
2,Acaena big,Acaena.big,Acaena_bigU_C,Acaena,big,NA,NA,NA,Annual Herb,,,,,,,,
3,Acaena little,Acaena.little,Acaena_littleU_C,Acaena,little,NA,NA,NA,Annual Herb,,,,,,,,
4,Acer pseudoplatanus,Acer.pseudoplatanus,Acer_pseudoplatanus_C,Acer,pseudoplatanus,Acer pseudoplatanus,Sapindaceae,Exotic,Tree,Short,Spring,Multiple,1,SC,6,9,
5,Achillea millefolium,Achillea.millefolium,Achillea_millefolium_C,Achillea,millefolium,Achillea millefolium,Compositae,Exotic,Perennial Herb,Medium,Summer,Wind,1,CSR,1,4,
6,Agrostis capillaris,Agrostis.capillaris,Agrostis_capillaris_C,Agrostis,capillaris,Agrostis capillaris,Gramineae,Exotic,Perennial Grass,Short,Summer,Wind,1,CSR,1,5,
7,Agrostis stolonifera,Agrostis.stolonifera,Agrostis_stolonifera_C,Agrostis,stolonifera,Agrostis stolonifera,Gramineae,Exotic,Perennial Grass,Short,Summer,Multiple,1,CR,1,5,
8,Aira caryophyllea,Aira.caryophyllea,Aira_caryophyllea_C,Aira,caryophyllea,Aira caryophyllea,Gramineae,Exotic,Annual Grass,Short,Summer,Animal,0,SR,1,2,
9,Alnus glutinosa,Alnus.glutinosa,Alnus_glutinosa_C,Alnus,glutinosa,Alnus glutinosa,Betulaceae,Indigenous,Tree,Medium,Aut-Winter,Multiple,1,SC,4,9,
10,Alopecurus geniculatus,Alopecurus.geniculatus,Alopecurus_geniculatus_C,Alopecurus,geniculatus,Alopecurus geniculatus,Gramineae,Exotic,Perennial Grass,Medium,Spring,Multiple,1,CR,2,3,
11,Anagallis arvensis,Anagallis.arvensis,Anagallis_arvensis_C,Anagallis,arvensis,Anagallis arvensis,Primulaceae,Exotic,Annual Herb,Long,Summer,Animal,0,SR,2,3,
12,Anaphalioides bellidioides,Anaphalioides.bellidioides,Anaphalioides_bellidioides_C,Anaphalioides,bellidioides,Anaphalioides bellidioides,Compositae,Endemic,Perennial Herb,,,,,,,,
13,Anthemis cotula,Anthemis.cotula,Anthemis_cotulaU_C,Anthemis,cotula,Anthemis cotula,Compositae,Exotic,Annual Herb,Medium,Summer,Wind,0,CR,2,4,
14,Anthoxanthum aristatum,Anthoxanthum.aristatum,Anthoxanthum_aristatumU_C,Anthoxanthum,aristatum,Anthoxanthum aristatum,Gramineae,Exotic,Annual Grass,,,,,,,,
15,Anthoxanthum odoratum,Anthoxanthum.odoratum,Anthoxanthum_odoratum_C,Anthoxanthum,odoratum,Anthoxanthum odoratum,Gramineae,Exotic,Perennial Grass,Short,Spring,Multiple,1,CSR,2,4,
16,Aphanes arvensis,Aphanes.arvensis,Aphanes_arvensis_C,Aphanes,arvensis,Aphanes arvensis,Rosaceae,Exotic,Annual Herb,Short,Spring,Multiple,0,SR,1,2,
17,Arabidopsis thaliana,Arabidopsis.thaliana,Arabidopsis_thaliana_C,Arabidopsis,thaliana,Arabidopsis thaliana,Cruciferae,Exotic,Annual Herb,Medium,Spring,Wind,0,SR,1,3,
18,Arenaria serpyllifolia,Arenaria.serpyllifolia,Arenaria_serpyllifolia_C,Arenaria,serpyllifolia,Arenaria serpyllifolia,Caryophyllaceae,Exotic,Annual Herb,Medium,Spring,Wind,0,SR,1,3,
19,Aristotelia serrata,Aristotelia.serrata,Aristotelia_serrata_C,Aristotelia,serrata,Aristotelia serrata,Elaeocarpaceae,Endemic,Tree,,,,,,,,
20,Arrhenatherum elatius,Arrhenatherum.elatius,Arrhenatherum_elatius_C,Arrhenatherum,elatius,Arrhenatherum elatius subsp elatius,Gramineae,Exotic,Perennial Grass,Medium,Summer,Multiple,1,CSR,5,6,
21,Barbarea intermedia,Barbarea.intermedia,Barbarea_intermedia_C,Barbarea,intermedia,Barbarea intermedia,Cruciferae,Exotic,Biennial Herb,Short,Spring,Multiple,1,CR,3,5,
22,Barbarea vulgaris,Barbarea.vulgaris,Barbarea_vulgaris_C,Barbarea,vulgaris,Barbarea vulgaris,Cruciferae,Exotic,Biennial Herb,Short,Spring,Multiple,1,CR,3,5,1
23,Berberis glaucocarpa,Berberis.glaucocarpa,Berberis_glaucocarpaU_C,Berberis,glaucocarpa,Berberis glaucocarpa,Berberidaceae,Exotic,Shrub,,,,,,,,
24,Betula pendula,Betula.pendula,Betula_pendula_C,Betula,pendula,Betula pendula,Betulaceae,Exotic,Tree,Short,Spring,Multiple,1,C,1,9,
25,Bromus diandrus,Bromus.diandrus,Bromus_diandrus_C,Bromus,diandrus,Bromus diandrus,Gramineae,Exotic,Annual Grass,Short,Spring,Animal,0,CR,5,4,1
26,Bromus hordeaceus,Bromus.hordeaceus,Bromus_hordeaceus_C,Bromus,hordeaceus,Bromus hordeaceus,Gramineae,Exotic,Annual Grass,Medium,Spring,Animal,0,CR,5,3,
27,Bromus tectorum,Bromus.tectorum,Bromus_tectorum_C,Bromus,tectorum,Bromus tectorum,Gramineae,Exotic,Annual Grass,Short,Spring,Multiple,0,R,6,2,
28,Bromus willdenowii,Bromus.willdenowii,Bromus_willdenowii_C,Bromus,willdenowii,Bromus willdenowii,Gramineae,Exotic,Perennial Grass,Medium,Summer,Unspecialised,1,CR,5,4,1
29,Buddleia davidii,Buddleia.davidii,Buddleia_davidii_C,Buddleia,davidii,Buddleja davidii,Scrophulariaceae ,Exotic ,Shrub,Short,Summer,Multiple,1,C,1,7,
30,Calandrinia menziesii,Calandrinia.menziesii,Calandrinia_menziesii_C,Calandrinia,menziesii,Calandrinia menziesii,Portulacaceae  [as Portulaceae],Exotic,Annual Herb,,,,,,,,
31,Callitriche stagnalis,Callitriche.stagnalis,Callitriche_stagnalis_C,Callitriche,stagnalis,Callitriche stagnalis,Plantaginaceae,Exotic,Perennial Herb,Short,Summer,Unspecialised,1,CR,1,5,
32,Calystegia silvatica,Calystegia.silvatica,Calystegia_silvatica_C,Calystegia,silvatica,Calystegia silvatica,Convolvulaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CR,6,7,1
33,Capsella bursapastoris,Capsella.bursapastoris,Capsella_bursapastoris_C,Capsella,bursapastoris,Capsella bursa-pastoris,Cruciferae,Exotic,Annual Herb,Medium,Spring,Multiple,0,R,1,4,
34,Cardamine hirsuta,Cardamine.hirsuta,Cardamine_hirsuta_C,Cardamine,hirsuta,Cardamine hirsuta,Cruciferae,Exotic,Annual Herb,Medium,Spring,Multiple,0,SR,1,3,1
35,Carduus nutans,Carduus.nutans,Carduus_nutans_C,Carduus,nutans,Carduus nutans,Compositae,Exotic,Annual_Biennial Herb,Medium,Spring,Wind,0,CR,5,6,
36,Carex spp,Carex.spp,Carex_sppU_C,Carex,spp,NA,NA,NA,Perennial Cyper,Short,Spring,Unspecialised,1,CSR,5,4,1
37,Carmichaelia corrugata,Carmichaelia.corrugata,Carmichaelia_corrugata_C,Carmichaelia,corrugata,Carmichaelia corrugata,Leguminosae,Endemic,Dwarf Shrub,,,,,,,,
38,Centaurium erythraea,Centaurium.erythraea,Centaurium_erythraea_C,Centaurium,erythraea,Centaurium erythraea,Gentianaceae,Exotic,Annual_Biennial Herb,Medium,Spring,Wind,0,SR,1,3,
39,Centipeda cunninghamii,Centipeda.cunninghamii,Centipeda_cunninghamii_C,Centipeda,cunninghamii,Centipeda cunninghamii,Compositae,Non-endemic,Perennial Herb,,,,,,,,
40,Cerastium fontanum,Cerastium.fontanum,Cerastium_fontanum_C,Cerastium,fontanum,Cerastium fontanum,Caryophyllaceae,Exotic,Perennial Herb,Medium,Spring,Animal,1,CSR,1,4,
41,Cerastium glomeratum,Cerastium.glomeratum,Cerastium_glomeratum_C,Cerastium,glomeratum,Cerastium glomeratum,Caryophyllaceae,Exotic,Annual Herb,Short,Spring,Wind,0,SR,1,3,
42,Chenopodium album,Chenopodium.album,Chenopodium_album_C,Chenopodium,album,Chenopodium album,Amaranthaceae,Exotic,Annual Herb,Medium,Summer,Animal,0,CR,4,6,
43,Chenopodium pumilio,Chenopodium.pumilio,Chenopodium_pumilio_C,Chenopodium,pumilio,Dysphania pumilio,Amaranthaceae,Exotic,Annual Herb,,,,,,,,
44,Cirsium arvense,Cirsium.arvense,Cirsium_arvense_C,Cirsium,arvense,Cirsium arvense,Compositae,Exotic,Perennial Herb,Short,Summer,Multiple,1,C,4,6,
45,Cirsium vulgare,Cirsium.vulgare,Cirsium_vulgare_C,Cirsium,vulgare,Cirsium vulgare,Compositae,Exotic,Biennial Herb,Medium,Spring,Multiple,1,CR,5,6,
46,Clematis vitalba,Clematis.vitalba,Clematis_vitalba_C,Clematis,vitalba,Clematis vitalba,Ranunculaceae,Exotic,Perennial Herb,Medium,Summer,Multiple,1,C,4,9,
47,Colobanthus apetalus,Colobanthus.apetalus,Colobanthus_apetalus_C,Colobanthus,apetalus,Colobanthus apetalus,Caryophyllaceae,Non-endemic,Perennial Herb,,,,,,,,
48,Conium maculatum,Conium.maculatum,Conium_maculatum_C,Conium,maculatum,Conium maculatum,Umbelliferae,Exotic,Annual_Biennial Herb,Medium,Spring,Water,0,CR,5,7,
49,Conyza spp,Conyza.spp,Conyza_spp_C,Conyza,spp,NA,NA,NA,Perennial Herb,Medium,Summer,Wind,0,CR,1,5,
50,Coprosma atropurpurea,Coprosma.atropurpurea,Coprosma_atropurpurea_C,Coprosma,atropurpurea,Coprosma atropurpurea,Rubiaceae,Endemic,Shrub,,,,,,,,
51,Coprosma propinqua,Coprosma.propinqua,Coprosma_propinqua_C,Coprosma,propinqua,Coprosma propinqua,Rubiaceae,Endemic,Shrub,,,,,,,,
52,Coriaria plumosa,Coriaria.plumosa,Coriaria_plumosa_C,Coriaria,plumosa,Coriaria plumosa,Coriariaceae,Endemic,Subshrub,,,,,,,,
53,Coriaria sarmentosa,Coriaria.sarmentosa,Coriaria_sarmentosa_C,Coriaria,sarmentosa,Coriaria sarmentosa,Coriariaceae,Endemic,Subshrub,,,,,,,,
54,Coronopus didymus,Coronopus.didymus,Coronopus_didymus_C,Coronopus,didymus,Lepidium didymum,Cruciferae,Exotic,Annual_Biennial Herb,Short,Spring,Animal,0,R,3,3,
55,Cotoneaster spp,Cotoneaster.spp,Cotoneaster_franchetii_C,Cotoneaster,spp,Cotoneaster franchetii,Rosaceae,Exotic,Shrub,Short,Spring,Animal,1,C,5,7,
56,Cotula australis,Cotula.australis,Cotula_australisU_C,Cotula,australis,Cotula australis,Compositae,Non-endemic,Annual Herb,,,,,,,,
57,Crataegus monogyna,Crataegus.monogyna,Crataegus_monogyna_C,Crataegus,monogyna,Crataegus monogyna,Rosaceae,Exotic,Shrub,Short,Spring,Animal,0,SC,6,8,
58,Crepis capillaris,Crepis.capillaris,Crepis_capillaris_C,Crepis,capillaris,Crepis capillaris,Compositae,Exotic,Annual_Biennial Herb,Long,Spring,Wind,0,SR,2,5,
59,Cynosurus cristatus,Cynosurus.cristatus,Cynosurus_cristatus_C,Cynosurus,cristatus,Cynosurus cristatus,Gramineae,Exotic,Perennial Grass,Short,Summer,Wind,1,CSR,3,4,
60,Cytisus scoparius,Cytisus.scoparius,Cytisus_scoparius_C,Cytisus,scoparius,Cytisus scoparius,Leguminosae,Exotic,Shrub,Long,Spring,Multiple,0,SC,5,6,
61,Dactylis glomerata,Dactylis.glomerata,Dactylis_glomerata_C,Dactylis,glomerata,Dactylis glomerata,Gramineae,Exotic,Perennial Grass,Short,Spring,Multiple,1,CSR,3,5,
62,Daucus carota,Daucus.carota,Daucus_carota_C,Daucus,carota,Daucus carota,Umbelliferae,Exotic,Annual_Biennial Herb,Long,Aut-Winter,Multiple,1,CSR,3,5,
63,Dianthus armeria,Dianthus.armeria,Dianthus_armeria_C,Dianthus,armeria,Dianthus armeria,Caryophyllaceae,Exotic,Annual_Biennial Herb,,,,,,,,
64,Dichelachne crinita,Dichelachne.crinita,Dichelachne_crinita_C,Dichelachne,crinita,Dichelachne crinita,Gramineae,Non-endemic,Perennial Grass,,,,,,,,
65,Digitalis purpurea,Digitalis.purpurea,Digitalis_purpurea_C,Digitalis,purpurea,Digitalis purpurea,Plantaginaceae,Exotic,Biennial_Perennial Herb,Medium,Spring,Wind,0,CSR,1,6,
66,Discaria toumatou,Discaria.toumatou,Discaria_toumatou_C,Discaria,toumatou,Discaria toumatou,Rhamnaceae,Endemic,Shrub,,,,,,,,
67,Echium vulgare,Echium.vulgare,Echium_vulgare_C,Echium,vulgare,Echium vulgare,Echium,Exotic,Annual_Biennial Herb,Short,Spring,Animal,1,CR,6,4,
68,Elymus solandri,Elymus.solandri,Elymus_solandri_C,Elymus,solandri,Anthosachne solandri,Gramineae,Endemic,Perennial Grass,,,,,,,,
69,Elytrigia repens,Elytrigia.repens,Elytrigia_repens_C,Elytrigia,repens,Elytrigia repens,Gramineae,Exotic,Perennial Grass,Short,Summer,Unspecialised,1,C,4,6,
70,Epilobium brunnescens,Epilobium.brunnescens,Epilobium_brunnescens_C,Epilobium,brunnescens,Epilobium brunnescens subsp minutiflorum,Onagraceae,Endemic,Perennial Herb,,,,,,,,
71,Epilobium ciliatum,Epilobium.ciliatum,Epilobium_ciliatum_C,Epilobium,ciliatum,Epilobium ciliatum,Onagraceae,Exotic,Perennial Herb,Medium,Spring,Wind,1,CSR,1,6,
72,Epilobium melanocaulon,Epilobium.melanocaulon,Epilobium_melanocaulon_C,Epilobium,melanocaulon,Epilobium melanocaulon,Onagraceae,Endemic,Perennial Herb,,,,,,,,
73,Epilobium microphyllum,Epilobium.microphyllum,Epilobium_microphyllum_C,Epilobium,microphyllum,Epilobium microphyllum,Onagraceae,Endemic,Perennial Herb,,,,,,,,
74,Epilobium rostratum,Epilobium.rostratum,Epilobium_rostratum_C,Epilobium,rostratum,Epilobium rostratum,Onagraceae,Endemic,Perennial Herb,,,,,,,,
75,Erodium cicutarium,Erodium.cicutarium,Erodium_cicutarium_C,Erodium,cicutarium,Erodium cicutarium,Geraniaceae,Exotic,Annual Herb,Long,Spring,Animal,0,SR,4,3,
77,Eschscholzia californica,Eschscholzia.californica,Eschscholzia_californica_C,Eschscholzia,californica,Eschscholzia californica,Papaveraceae,Exotic,Annual_Perennial Herb,Medium,Spring,Unspecialised,0,R,4,3,
78,Euchiton involucratus,Euchiton.involucratus,Euchiton_involucratus_C,Euchiton,involucratus,Gnaphalium involucratum,Compositae,Non-endemic,Perennial Herb,,,,,,,,
79,Euchiton sphaericus,Euchiton.sphaericus,Euchiton_sphaericus_C,Euchiton,sphaericus,Gnaphalium spaericum,Compositae,Non-endemic,Annual Herb,,,,,,,,
80,Euphorbia peplus,Euphorbia.peplus,Euphorbia_peplus_C,Euphorbia,peplus,Euphorbia peplus,Euphorbiaceae,Exotic,Annual Herb,Long,Summer,Multiple,0,R,2,3,
81,Festuca rubra,Festuca.rubra,Festuca_rubra_C,Festuca,rubra,Festuca rubra,Gramineae,Exotic,Perennial Grass,Short,Summer,Animal,1,CSR,3,3,
83,Foeniculum vulgare,Foeniculum.vulgare,Foeniculum_vulgare_C,Foeniculum,vulgare,Foeniculum vulgare,Umbelliferae,Exotic,Perennial Herb,Long,Spring,Unspecialised,0,C,5,6,
84,Fumaria spp,Fumaria.spp,Fumaria_spp_C,Fumaria,spp,NA,NA,NA,Annual Herb,Medium,Spring,Animal,0,R,5,3,
85,Galium aparine,Galium.aparine,Galium_aparine_C,Galium,aparine,Galium aparine,Rubiaceae,Exotic,Annual Herb,Long,Aut-Winter,Animal,0,CR,5,6,
86,Galium murale,Galium.murale,Galium_murale_C,Galium,murale,Galium murale,Rubiaceae,Exotic,Annual Herb,,,,,,,,
87,Galium palustre,Galium.palustre,Galium_palustre_C,Galium,palustre,Galium palustre,Rubiaceae,Exotic,Perennial Herb,Medium,Spring,Water,1,CSR,3,5,
88,Geranium dissectum,Geranium.dissectum,Geranium_dissectum_C,Geranium,dissectum,Geranium dissectum,Geraniaceae,Exotic,Annual Herb,Medium,Spring,Multiple,0,SR,5,3,
89,Geranium molle,Geranium.molle,Geranium_molle_C,Geranium,molle,Geranium molle,Geraniaceae,Exotic,Annual Herb,Medium,Spring,Multiple,0,SR,4,3,
90,Glyceria fluitans,Glyceria.fluitans,Glyceria_fluitans_C,Glyceria,fluitans,Glyceria fluitans,Gramineae,Exotic,Perennial Grass,Medium,Spring,Multiple,1,CR,4,4,
91,Griselinia littoralis,Griselinia.littoralis,Griselinia_littoralis_C,Griselinia,littoralis,Griselinia littoralis,Griseliniaceae,Endemic,Tree,,,,,,,,
92,Gunnera spp,Gunnera.spp,Gunnera_sppU_C,Gunnera,spp,NA,NA,Endemic,Perennial Herb,,,,,,,,
93,Haloragis erecta,Haloragis.erecta,Haloragis_erecta_C,Haloragis,erecta,Haloragis erecta subsp cartilaginea,Haloragaceae,Endemic,Perennial Herb,,,,,,,,
94,Helichrysum depressum,Helichrysum.depressum,Helichrysum_depressum_C,Helichrysum,depressum,Helichrysum depressum,Compositae,Endemic,Dwarf Shrub,,,,,,,,
95,Hieracium lepidulum,Hieracium.lepidulum,Hieracium_lepidulum_C,Hieracium,lepidulum,Hieracium lepidulum,Compositae,Exotic,Perennial Herb,,,,,,,,
96,Hieracium praealtum,Hieracium.praealtum,Hieracium_praealtum_C,Hieracium,praealtum,Pilosella piloselloides,Compositae,Exotic,Perennial Herb,,,,,,,,
97,Holcus lanatus,Holcus.lanatus,Holcus_lanatus_C,Holcus,lanatus,Holcus lanatus,Gramineae,Exotic,Perennial Grass,Short,Summer,Multiple,1,CSR,2,5,
98,Hydrocotyle heteromeria,Hydrocotyle.heteromeria,Hydrocotyle_heteromeria_C,Hydrocotyle,heteromeria,Hydrocotyle heteromeria,Araliaceae,Endemic,Perennial Herb,,,,,,,,
99,Hydrocotyle microphylla,Hydrocotyle.microphylla,Hydrocotyle_microphylla_C,Hydrocotyle,microphylla,Hydrocotyle microphylla,Araliaceae,Endemic,Perennial Herb,,,,,,,,
101,Hypericum perforatum,Hypericum.perforatum,Hypericum_perforatum_C,Hypericum,perforatum,Hypericum perforatum,Hypericaceae,Exotic,Perennial Herb,Medium,Summer,Multiple,1,CSR,1,5,
102,Hypochaeris radicata,Hypochaeris.radicata,Hypochaeris_radicata_C,Hypochaeris,radicata,Hypochaeris radicata,Compositae,Exotic,Perennial Herb,,,,,,,,
103,Impatiens glandulifera,Impatiens.glandulifera,Impatiens_glandulifera_C,Impatiens,glandulifera,Impatiens glandulifera,Balsaminaceae,Exotic,Annual Herb,Medium,Spring,Multiple,0,CR,5,6,
104,Isolepis aucklandica,Isolepis.aucklandica,Isolepis_aucklandica_C,Isolepis,aucklandica,Isolepis aucklandica,Cyperaceae,Non-endemic,Perennial Cyper,,,,,,,,
105,Juncus articulatus,Juncus.articulatus,Juncus_articulatus_C,Juncus,articulatus,Juncus articulatus,Juncaceae,Exotic,Perennial Cyper,Short,Summer,Multiple,1,CSR,1,4,
106,Juncus bufonius,Juncus.bufonius,Juncus_bufonius_C,Juncus,bufonius,Juncus bufonius,Juncaceae,Exotic,Annual Cyper,Medium,Spring,Animal,0,SR,1,3,
107,Koeleria novozelandica,Koeleria.novozelandica,Koeleria_novozelandica_C,Koeleria,novozelandica,Koeleria novozelandica,Gramineae,Endemic,Perennial Grass,,,,,,,,
108,Lachnagrostis lyallii,Lachnagrostis.lyallii,Lachnagrostis_lyallii_C,Lachnagrostis,lyallii,Lachnagrostis lyallii,Gramineae,Endemic,Perennial Grass,,,,,,,,
109,Lamium purpureum,Lamium.purpureum,Lamium_purpureum_C,Lamium,purpureum,Lamium purpureum,Labiatae,Exotic,Annual Herb,Short,Spring,Animal,1,R,3,3,
110,Lapsana communis,Lapsana.communis,Lapsana_communis_C,Lapsana,communis,Lapsana communis,Compositae,Exotic,Annual Herb,Medium,Summer,Multiple,0,CR,4,6,
111,Leontodon taraxacoides,Leontodon.taraxacoides,Leontodon_taraxacoides_C,Leontodon,taraxacoides,Leontodon taraxacoides,Compositae,Exotic,Perennial Herb,Medium,Spring,Wind,0,CSR,2,3,
112,Leucanthemum vulgare,Leucanthemum.vulgare,Leucanthemum_vulgare_C,Leucanthemum,vulgare,Leucanthemum vulgare,Compositae,Exotic,Perennial Herb,Long,Aut-Winter,Multiple,1,CSR,2,5,
113,Leucopogon fraseri,Leucopogon.fraseri,Leucopogon_fraseri_C,Leucopogon,fraseri,Leucopogon fraseri,Ericaceae,Non-endemic,Dwarf Shrub,,,,,,,,
114,Leycesteria formosa,Leycesteria.formosa,Leycesteria_formosa_C,Leycesteria,formosa,Leycesteria formosa,Caprifoliaceae,Exotic,Shrub,,,,,,,,
115,Linaria arvensis,Linaria.arvensis,Linaria_arvensis_C,Linaria,arvensis,Linaria arvensis,Plantaginaceae,Exotic,Annual Herb,,,,,,,,
116,Linear leaved,Linear.leaved,Linear_leaved_C,Linear,leaved,NA,NA,NA,,,,,,,,,
117,Linum catharticum,Linum.catharticum,Linum_catharticum_C,Linum,catharticum,Linum catharticum,Linaceae,Exotic,Biennial Herb,Short,Summer,Multiple,0,SR,1,3,
118,Lobelia spp,Lobelia.spp,Lobelia_sppU_C,Lobelia,spp,NA,NA,NA,,,,,,,,,
119,Logfia minima,Logfia.minima,Logfia_minima_C,Logfia,minima,Logfia minima,Compositae,Exotic,Annual Herb,,,,,,,,
120,Lolium italicum,Lolium.italicum,Lolium_italicum_C,Lolium,italicum,Lolium multiflorum,Gramineae,Exotic,Annual_Biennial Grass,Short,Summer,Multiple,1,C,4,4,
121,Lolium perenne,Lolium.perenne,Lolium_perenne_C,Lolium,perenne,Lolium perenne,Gramineae,Exotic,Perennial Grass,Medium,Spring,Multiple,1,CSR,4,4,
122,Lotus pedunculatus,Lotus.pedunculatus,Lotus_pedunculatus_C,Lotus,pedunculatus,Lotus pedunculatus,Leguminosae,Exotic,Perennial Herb,Short,Spring,Ballistic,1,CSR,2,4,
123,Lupinus arboreus,Lupinus.arboreus,Lupinus_arboreus_C,Lupinus,arboreus,Lupinus arboreus,Leguminosae,Exotic,Shrub,,,,,,,,
124,Lupinus polyphyllus,Lupinus.polyphyllus,Lupinus_polyphyllus_C,Lupinus,polyphyllus,Lupinus polyphyllus,Leguminosae,Exotic,Perennial Herb,,,,,,,,
125,Luzula picta,Luzula.picta,Luzula_picta_C,Luzula,picta,Luzula picta,Juncaceae,Endemic,Perennial Cyper,,,,,,,,
126,Luzula rufa,Luzula.rufa,Luzula_rufa_C,Luzula,rufa,Luzula rufa,Juncaceae,Endemic,Perennial Cyper,,,,,,,,
127,Luzula spp,Luzula.spp,Luzula_sppU_C,Luzula,spp,NA,NA,NA,Perennial Cyper,,,,,,,,
128,Lythrum hyssopifolia,Lythrum.hyssopifolia,Lythrum_hyssopifolia_C,Lythrum,hyssopifolia,Lythrum hyssopifolia,Lythraceae,Exotic,Annual Herb,Short,Summer,Multiple,1,SR,2,3,
