Id,Scientific.Name,SpecName,Dataframe.name,Genus,Species,Accepted.Name,Family,Origin,Plant Growth Form,Dur,Start,Disp,Veg,CSR,Seed Mass,Height,Congen_Used
129,Mahonia aquifolium,Mahonia.aquifolium,Mahonia_aquifolium_C,Mahonia,aquifolium,Berberis aquifolium,Berberidaceae,Exotic,Shrub,Short,Spring,Animal,1,C,6,6,
130,Marrubium vulgare,Marrubium.vulgare,Marrubium_vulgare_C,Marrubium,vulgare,Marrubium vulgare,Labiatae,Exotic,Perennial Herb,Medium,Spring,Animal,1,CSR,3,4,
131,Matricaria discoidea,Matricaria.discoidea,Matricaria_discoidea_C,Matricaria,discoidea,Matricaria discoidea,Compositae,Exotic,Annual Herb,,,,,,,,
132,Medicago lupulina,Medicago.lupulina,Medicago_lupulina_C,Medicago,lupulina,Medicago lupulina,Leguminosae,Exotic,Perennial Herb,Long,Spring,Animal,1,SR,5,4,
133,Medicago minima,Medicago.minima,Medicago_minima_C,Medicago,minima,Medicago minima,Leguminosae,Exotic,Annual Herb,,,,,,,,
134,Melilotus albus,Melilotus.albus,Melilotus_albus_C,Melilotus,albus,Melilotus albus  [as alba],Leguminosae,Exotic,Annual_Biennial Herb,Medium,Summer,Water,0,CR,4,6,
135,Mentha spicata,Mentha.spicata,Mentha_spicata_C,Mentha,spicata,Mentha spicata,Labiatae,Exotic,Perennial Herb,,,,,,,,
136,Mimulus guttatus,Mimulus.guttatus,Mimulus_guttatus_C,Mimulus,guttatus,Mimulus guttatus,Phrymaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CR,1,4,
137,Mimulus moschatus,Mimulus.moschatus,Mimulus_moschatus_C,Mimulus,moschatus,Mimulus moschatus,Phrymaceae,Exotic,Perennial Herb,Long,Aut-Winter,Unspecialised,1,CSR,1,3,
138,Muehlenbeckia australis,Muehlenbeckia.australis,Muehlenbeckia_australis_C,Muehlenbeckia,australis,Muehlenbeckia australis,Polygonaceae,Non-endemic,Perennial Herb,,,,,,,,
139,Muehlenbeckia axillaris,Muehlenbeckia.axillaris,Muehlenbeckia_axillaris_C,Muehlenbeckia,axillaris,Muehlenbeckia axillaris,Polygonaceae,Non-endemic,Shrub,,,,,,,,
140,Muehlenbeckia complexa,Muehlenbeckia.complexa,Muehlenbeckia_complexa_C,Muehlenbeckia,complexa,Polygonum complexum,Polygonaceae,NA,Shrub,,,,,,,,
141,Muehlenbeckia ephedroides,Muehlenbeckia.ephedroides,Muehlenbeckia_ephedroides_C,Muehlenbeckia,ephedroides,Muehlenbeckia ephedroides,Polygonaceae,Endemic,Shrub,,,,,,,,
142,Mycelis muralis,Mycelis.muralis,Mycelis_muralis_C,Mycelis,muralis,Mycelis muralis,Compositae,Exotic,Perennial Herb,Medium,Summer,Multiple,1,CSR,2,5,
143,Myosotis arvensis,Myosotis.arvensis,Myosotis_arvensis_C,Myosotis,arvensis,Myosotis arvensis,Myosotis,Exotic,Annual_Biennial Herb,Long,Spring,Animal,0,SR,2,4,
144,Myosotis laxa,Myosotis.laxa,Myosotis_laxa_C,Myosotis,laxa,Myosotis laxa,Myosotis,Exotic,Annual_Biennial Herb,Long,Spring,Water,0,CR,2,3,
145,Myosotis stricta,Myosotis.stricta,Myosotis_stricta_C,Myosotis,stricta,Myosotis stricta,Myosotis,Exotic,Annual Herb,,,,,,,,
146,Myricaria germanica,Myricaria.germanica,Myricaria_germanica_C,Myricaria,germanica,Myricaria germanica,Myrtaceae,Exotic,Shrub,Short,Summer,Wind,1,CSR,1,6,
147,Nasturtium microphyllum,Nasturtium.microphyllum,Nasturtium_microphyllum_C,Nasturtium,microphyllum,Nasturtium microphyllum,Cruciferae,Exotic,Perennial Herb,Medium,Spring,Unspecialised,1,CSR,1,5,
148,Navarretia squarrosa,Navarretia.squarrosa,Navarretia_squarrosa_C,Navarretia,squarrosa,Navarretia squarrosa,Polemoniaceae,Exotic,Annual Herb,,,,,,,,
149,Oenothera stricta,Oenothera.stricta,Oenothera_stricta_C,Oenothera,stricta,Oenothera stricta,Onagraceae,Exotic,Annual_Biennial Herb,Medium,Summer,Unspecialised,0,CR,3,6,1
150,Origanum vulgare,Origanum.vulgare,Origanum_vulgare_C,Origanum,vulgare,Origanum vulgare,Labiatae,Exotic,Perennial Herb,Medium,Summer,Unspecialised,1,CSR,1,5,
151,Orobanche minor,Orobanche.minor,Orobanche_minor_C,Orobanche,minor,Orobanche minor,Orobanchaceae,Exotic,Perennial Herb,,,,,,,,
152,Oxalis exilis,Oxalis.exilis,Oxalis_exilis_C,Oxalis,exilis,Oxalis exilis,Oxalidaceae,Non-endemic,Perennial Herb,,,,,,,,
153,Papaver rhoeas,Papaver.rhoeas,Papaver_rhoeas_C,Papaver,rhoeas,Papaver rhoeas,Papaveraceae,Exotic,Annual Herb,Short,Summer,Wind,0,R,1,5,
154,Parentucellia viscosa,Parentucellia.viscosa,Parentucellia_viscosa_C,Parentucellia,viscosa,Parentucellia viscosa,Orobanchaceae,Exotic,Annual Herb,,,,,,,,
155,Pastinaca sativa,Pastinaca.sativa,Pastinaca_sativa_C,Pastinaca,sativa,Pastinaca sativa,Umbelliferae,Exotic,Biennial Herb,Long,Spring,Wind,1,C,6,6,
156,Persicaria hydropiper,Persicaria.hydropiper,Persicaria_hydropiper_C,Persicaria,hydropiper,Persicaria hydropiper,Polygonaceae,Exotic,Annual Herb,Short,Spring,Water,0,R,4,4,
157,Persicaria maculosa,Persicaria.maculosa,Persicaria_maculosa_C,Persicaria,maculosa,Persicaria maculosa,Polygonaceae,Exotic,Annual Herb,Long,Summer,Multiple,0,R,5,5,
158,Persicaria prostrata,Persicaria.prostrata,Persicaria_prostrata_C,Persicaria,prostrata,Persicaria prostrata,Polygonaceae,Exotic,Perennial Herb,,,,,,,,
159,Phalaris aquatica,Phalaris.aquatica,Phalaris_aquatica_C,Phalaris,aquatica,Phalaris aquatica,Gramineae,Exotic,Perennial Grass,Short,Summer,Water,1,C,3,6,1
160,Phleum pratense,Phleum.pratense,Phleum_pratense_C,Phleum,pratense,Phleum pratense,Gramineae,Exotic,Perennial Grass,Short,Summer,Multiple,1,CSR,2,4,
161,Pilosella officinarum,Pilosella.officinarum,Pilosella_officinarum_C,Pilosella,officinarum,Pilosella officinarum,Compositae,Exotic,Perennial Herb,Medium,Spring,Wind,1,CSR,1,1,
162,Pimelea prostrata,Pimelea.prostrata,Pimelea_prostrata_C,Pimelea,prostrata,Pimelea laevigata,Thymelaeaceae,Endemic,Subshrub,,,,,,,,
163,Pinus radiata,Pinus.radiata,Pinus_radiata_C,Pinus,radiata,Pinus radiata,Pinaceae,Exotic,Tree,,,,,,,,
164,Pinus spp,Pinus.spp,Pinus_spp_C,Pinus,spp,NA,NA,NA,Tree,,,,,,,,
165,Pittosporum tenuifolium,Pittosporum.tenuifolium,Pittosporum_tenuifolium_C,Pittosporum,tenuifolium,Pittosporum tenuifolium,Pittosporaceae,Endemic,Tree,,,,,,,,
166,Plantago lanceolata,Plantago.lanceolata,Plantago_lanceolata_C,Plantago,lanceolata,Plantago lanceolata,Plantaginaceae,Exotic,Perennial Herb,Short,Aut-Winter,Multiple,1,CSR,4,3,
167,Plantago major,Plantago.major,Plantago_major_C,Plantago,major,Plantago major,Plantaginaceae,Exotic,Perennial Herb,Long,Aut-Winter,Animal,1,CSR,2,4,
168,Poa annua,Poa.annua,Poa_annua_C,Poa,annua,Poa annua,Gramineae,Exotic,Annual Grass,Long,Spring,Multiple,1,R,2,3,
169,Poa lindsayi,Poa.lindsayi,Poa_lindsayi_C,Poa,lindsayi,Poa lindsayi,Gramineae,Endemic,Perennial Grass,,,,,,,,
170,Poa maniototo,Poa.maniototo,Poa_maniototo_C,Poa,maniototo,Poa maniototo,Gramineae,Endemic,Perennial Grass,,,,,,,,
171,Poa pratensis,Poa.pratensis,Poa_pratensis_C,Poa,pratensis,Poa pratensis,Gramineae,Exotic,Perennial Grass,Short,Spring,Animal,1,CSR,2,4,
172,Poa trivialis,Poa.trivialis,Poa_trivialis_C,Poa,trivialis,Poa trivialis,Gramineae,Exotic,Perennial Grass,Short,Summer,Animal,1,CSR,1,4,
173,Polycarpon tetraphyllum,Polycarpon.tetraphyllum,Polycarpon_tetraphyllum_C,Polycarpon,tetraphyllum,Polycarpon tetraphyllum,Caryophyllaceae,Exotic,Annual Herb,Medium,Spring,Unspecialised,0,R,1,2,
174,Polygonum arenastrum,Polygonum.arenastrum,Polygonum_arenastrum_C,Polygonum,arenastrum,Polygonum arenastrum,Polygonaceae,Exotic,Annual Herb,Medium,Summer,Unspecialised,0,R,3,4,
175,Polygonum aviculare,Polygonum.aviculare,Polygonum_aviculare_C,Polygonum,aviculare,Polygonum aviculare,Polygonaceae,Exotic,Annual Herb,Long,Spring,Animal,0,R,4,5,
177,Polystichum vestitum,Polystichum.vestitum,Polystichum_vestitum_C,Polystichum,vestitum,NA,NA,NA,Perennial Fern,,,,,,,,
178,Populus nigra,Populus.nigra,Populus_nigra_C,Populus,nigra,Populus nigra 'Italica',Salicaceae,Exotic,Tree,,,,,,,,
179,Populus spp,Populus.spp,Populus_sppU_C,Populus,spp,NA,NA,NA,Tree,,,,,,,,
180,Prunella vulgaris,Prunella.vulgaris,Prunella_vulgaris_C,Prunella,vulgaris,Prunella vulgaris,Labiatae,Exotic,Perennial Herb,Medium,Spring,Animal,1,CSR,3,3,
181,Pseudognaphalium luteoalbum,Pseudognaphalium.luteoalbum,Pseudognaphalium_luteoalbum_C,Pseudognaphalium,luteoalbum,Pseudognaphalium luteo-album,Compositae,Non-endemic,Annual Herb,,,,,,,,
182,Ranunculus acris,Ranunculus.acris,Ranunculus_acris_C,Ranunculus,acris,Ranunculus acris,Ranunculaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CSR,4,5,
183,Ranunculus flammula,Ranunculus.flammula,Ranunculus_flammula_C,Ranunculus,flammula,Ranunculus flammula,Ranunculaceae,Exotic,Perennial Herb,Medium,Spring,Water,1,CSR,2,4,
184,Ranunculus repens,Ranunculus.repens,Ranunculus_repens_C,Ranunculus,repens,Ranunculus repens,Ranunculaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CR,5,4,
185,Ranunculus sceleratus,Ranunculus.sceleratus,Ranunculus_sceleratus_C,Ranunculus,sceleratus,Ranunculus sceleratus,Ranunculaceae,Exotic,Annual Herb,Medium,Spring,Water,0,R,1,4,
186,Raoulia australis,Raoulia.australis,Raoulia_australis_C,Raoulia,australis,NA,Compositae,Endemic,Perennial Cushion,,,,,,,,
187,Raoulia haastii,Raoulia.haastii,Raoulia_haastii_C,Raoulia,haastii,Raoulia haastii,Compositae,Endemic,Perennial Cushion,,,,,,,,
188,Raoulia hookeri,Raoulia.hookeri,Raoulia_hookeri_C,Raoulia,hookeri,Raoulia hookeri,Compositae,Endemic,Perennial Cushion,,,,,,,,
189,Raoulia tenuicaulis,Raoulia.tenuicaulis,Raoulia_tenuicaulis_C,Raoulia,tenuicaulis,Raoulia tenuicaulis,Compositae,Endemic,Perennial Cushion,,,,,,,,
190,Reseda luteola,Reseda.luteola,Reseda_luteola_C,Reseda,luteola,Reseda luteola,Resedaceae,Exotic,Biennial Herb,Medium,Spring,Wind,0,CSR,2,6,
191,Ribes sanguineum,Ribes.sanguineum,Ribes_sanguineum_C,Ribes,sanguineum,Ribes sanguineum,Grossulariaceae,Exotic,Shrub,,,,,,,,
192,Rorippa palustris,Rorippa.palustris,Rorippa_palustris_C,Rorippa,palustris,Rorippa palustris,Cruciferae,Non-endemic,Perennial Herb,,,,,,,,
193,Rosa rubiginosa,Rosa.rubiginosa,Rosa_rubiginosa_C,Rosa,rubiginosa,Rosa rubiginosa,Rosaceae,Exotic,Shrub,Short,Spring,Animal,1,C,4,7,
194,Rubus fruticosus,Rubus.fruticosus,Rubus_fruticosus_C,Rubus,fruticosus,Rubus fruticosus,Rosaceae,Exotic,Shrub,Medium,Spring,Animal,1,SC,5,6,
195,Rumex acetosella,Rumex.acetosella,Rumex_acetosella_C,Rumex,acetosella,Rumex acetosella,Polygonaceae,Exotic,Perennial Herb,Short,Spring,Multiple,1,CSR,2,3,
196,Rumex crispus,Rumex.crispus,Rumex_crispus_C,Rumex,crispus,Rumex crispus,Polygonaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CR,4,6,
197,Rumex obtusifolius,Rumex.obtusifolius,Rumex_obtusifolius_C,Rumex,obtusifolius,Rumex obtusifolius,Polygonaceae,Exotic,Perennial Herb,Long,Aut-Winter,Multiple,1,CR,4,5,
198,Rytidosperma buchananii,Rytidosperma.buchananii,Rytidosperma_buchananii_C,Rytidosperma,buchananii,Rytidosperma buchananii,Gramineae,Endemic,Perennial Grass,,,,,,,,
199,Rytidosperma pumilum,Rytidosperma.pumilum,Rytidosperma_pumilum_C,Rytidosperma,pumilum,Rytidosperma pumilum,Gramineae,Non-endemic,Perennial Grass,,,,,,,,
200,Rytidosperma racemosum,Rytidosperma.racemosum,Rytidosperma_racemosum_C,Rytidosperma,racemosum,Rytidosperma racemosum,Gramineae,Exotic,Perennial Grass,,,,,,,,
201,Rytidosperma spp,Rytidosperma.spp,Rytidosperma_sppU_C,Rytidosperma,spp,NA,NA,NA,Perennial Grass,,,,,,,,
202,Sagina apetala,Sagina.apetala,Sagina_apetala_C,Sagina,apetala,Sagina apetala,Caryophyllaceae,Exotic,Annual Herb,Short,Spring,Wind,0,SR,1,2,
203,Sagina procumbens,Sagina.procumbens,Sagina_procumbens_C,Sagina,procumbens,Sagina procumbens,Caryophyllaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,CSR,1,2,
204,Salix alba,Salix.alba,Salix_alba_C,Salix,alba,Salix alba,Salicaceae,Exotic,Tree,Short,Spring,Multiple,1,C,1,9,
205,Salix cinerea,Salix.cinerea,Salix_cinerea_C,Salix,cinerea,Salix cinerea,Salicaceae,Exotic,Tree,Short,Spring,Wind,1,C,1,8,
206,Salix fragilis,Salix.fragilis,Salix_fragilis_C,Salix,fragilis,Salix ?fragilis,Salicaceae,Exotic,Tree,Short,Spring,Multiple,1,C,1,9,
207,Sanguisorba minor,Sanguisorba.minor,Sanguisorba_minor_C,Sanguisorba,minor,Sanguisorba minor,Rosaceae,Exotic,Perennial Herb,Long,Spring,Multiple,1,S,4,4,
208,Schedonorus arundinaceus,Schedonorus.arundinaceus,Schedonorus_arundinaceus_C,Schedonorus,arundinaceus,Schedonorus arundinaceus,Gramineae,Exotic,Perennial Grass,,,,,,,,
209,Sedum acre,Sedum.acre,Sedum_acre_C,Sedum,acre,Sedum acre,Crassulaceae,Exotic,Perennial Herb,Medium,Spring,Multiple,1,S,1,2,
210,Senecio glomeratus,Senecio.glomeratus,Senecio_glomeratus_C,Senecio,glomeratus,Senecio glomeratus,Compositae,Non-endemic,Annual_Perennial Herb,,,,,,,,
211,Senecio jacobaea,Senecio.jacobaea,Senecio_jacobaea_C,Senecio,jacobaea,Jacobaea vulgaris,Compositae,Exotic,Biennial_Perennial Herb,Medium,Spring,Multiple,1,CR,1,5,
212,Senecio quadridentatus,Senecio.quadridentatus,Senecio_quadridentatus_C,Senecio,quadridentatus,Senecio quadridentatus,Compositae,Non-endemic,Annual_Perennial Herb,,,,,,,,
213,Senecio vulgaris,Senecio.vulgaris,Senecio_vulgaris_C,Senecio,vulgaris,Senecio vulgaris,Compositae,Exotic,Annual Herb,Long,Summer,Multiple,0,R,2,3,
214,Silene gallica,Silene.gallica,Silene_gallica_C,Silene,gallica,Silene gallica,Caryophyllaceae,Exotic,Annual Herb,Medium,Spring,Unspecialised,0,R,2,3,
215,Silene latifolia,Silene.latifolia,Silene_latifolia_C,Silene,latifolia,Silene latifolia,Caryophyllaceae,Exotic,Biennial_Perennial Herb,Medium,Spring,Multiple,1,C,3,5,
216,Sisymbrium officinale,Sisymbrium.officinale,Sisymbrium_officinale_C,Sisymbrium,officinale,Sisymbrium officinale,Cruciferae,Exotic,Annual Herb,Medium,Spring,Wind,0,CR,2,5,
217,Solanum chenopodioides,Solanum.chenopodioides,Solanum_chenopodioides_C,Solanum,chenopodioides,Solanum chenopodioides,Solanaceae,Exotic,Perennial Herb,,,,,,,,
218,Solanum dulcamara,Solanum.dulcamara,Solanum_dulcamara_C,Solanum,dulcamara,Solanum dulcamara,Solanaceae,Exotic,Perennial Herb,Medium,Spring,Animal,1,CSR,4,7,
219,Solanum nigrum,Solanum.nigrum,Solanum_nigrum_C,Solanum,nigrum,Solanum nigrum,Solanaceae,Exotic,Annual_Perennial Herb,Long,Spring,Animal,0,R,6,4,
220,Solanum spp,Solanum.spp,Solanum_sppU_C,Solanum,spp,NA,NA,NA,Annual_Perennial Herb,,,,,,,,
221,Solanum whiteflower,Solanum.whiteflower,Solanum_whiteflower_C,Solanum,whiteflower,NA,NA,NA,Annual_Perennial Herb,,,,,,,,
222,Sonchus asper,Sonchus.asper,Sonchus_asper_C,Sonchus,asper,Sonchus asper,Compositae,Exotic,Annual_Biennial Herb,Medium,Spring,Multiple,0,CR,2,6,
223,Sonchus kirkii,Sonchus.kirkii,Sonchus_kirkii_C,Sonchus,kirkii,Sonchus kirkii,Compositae,Endemic,Biennial_Perennial Herb,,,,,,,,
224,Sonchus oleraceus,Sonchus.oleraceus,Sonchus_oleraceus_C,Sonchus,oleraceus,Sonchus oleraceus,Compositae,Exotic,Annual Herb,Short,Spring,Multiple,0,CR,2,5,
225,Sophora microphylla,Sophora.microphylla,Sophora_microphylla_C,Sophora,microphylla,Sophora microphylla,Leguminosae,Endemic,Tree,,,,,,,,
226,Spergularia arvensis,Spergularia.arvensis,Spergularia_arvensis_C,Spergularia,arvensis,Spergula arvensis,Caryophyllaceae,Exotic,Annual Herb,Long,Spring,Wind,0,SR,2,4,
227,Spergularia rubra,Spergularia.rubra,Spergularia_rubra_C,Spergularia,rubra,NA,Caryophyllaceae,Exotic,Annual_Perennial Herb,Long,Spring,Multiple,0,SR,1,3,
228,Stellaria alsine,Stellaria.alsine,Stellaria_alsine_C,Stellaria,alsine,Stellaria alsine,Caryophyllaceae,Exotic,Perennial Herb,Medium,Spring,Unspecialised,1,CSR,1,3,
229,Stellaria gracilenta,Stellaria.gracilenta,Stellaria_gracilenta_C,Stellaria,gracilenta,Stellaria gracilenta,Caryophyllaceae,Endemic,Perennial Herb,,,,,,,,
230,Stellaria graminea,Stellaria.graminea,Stellaria_graminea_C,Stellaria,graminea,Stellaria graminea,Caryophyllaceae,Exotic,Perennial Herb,Medium,Spring,Water,1,CSR,2,4,
231,Stellaria media,Stellaria.media,Stellaria_media_C,Stellaria,media,Stellaria media,Caryophyllaceae,Exotic,Annual Herb,Medium,Spring,Animal,1,R,2,4,
232,Taraxacum officinale,Taraxacum.officinale,Taraxacum_officinale_C,Taraxacum,officinale,NA,Compositae,Exotic,Perennial Herb,,,,,,,,
233,Thymus vulgaris,Thymus.vulgaris,Thymus_vulgarisU_C,Thymus,vulgaris,Thymus vulgaris,Labiatae,Exotic,Perennial Herb,Medium,Spring,Unspecialised,0,CSR,2,3,
235,Trifolium arvense,Trifolium.arvense,Trifolium_arvense_C,Trifolium,arvense,Trifolium arvense,Leguminosae,Exotic,Annual Herb,Long,Aut-Winter,Animal,0,SR,2,2,
236,Trifolium dubium,Trifolium.dubium,Trifolium_dubium_C,Trifolium,dubium,Trifolium dubium,Leguminosae,Exotic,Annual Herb,Medium,Spring,Multiple,0,SR,2,3,
237,Trifolium glomeratum,Trifolium.glomeratum,Trifolium_glomeratum_C,Trifolium,glomeratum,Trifolium glomeratum,Leguminosae,Exotic,Annual Herb,,,,,,,,
238,Trifolium pratense,Trifolium.pratense,Trifolium_pratense_C,Trifolium,pratense,Trifolium pratense,Leguminosae,Exotic,Perennial Herb,Medium,Spring,Animal,1,CSR,4,5,
239,Trifolium repens,Trifolium.repens,Trifolium_repens_C,Trifolium,repens,Trifolium repens,Leguminosae,Exotic,Perennial Herb,Long,Aut-Winter,Multiple,1,CSR,3,3,
240,Trifolium striatum,Trifolium.striatum,Trifolium_striatum_C,Trifolium,striatum,Trifolium striatum,Leguminosae,Exotic,Annual Herb,Short,Summer,Unspecialised,0,SR,4,3,
241,Trifolium subterraneum,Trifolium.subterraneum,Trifolium_subterraneum_C,Trifolium,subterraneum,Trifolium subterraneum,Leguminosae,Exotic,Annual Herb,,,,,,,,
242,Tripleurospermum inodorum,Tripleurospermum.inodorum,Tripleurospermum_inodorum_C,Tripleurospermum,inodorum,Tripleurospermum inodorum,Compositae,Exotic,Annual_Biennial Herb,Short,Summer,Multiple,0,R,2,5,
243,Ulex europaeus,Ulex.europaeus,Ulex_europaeus_C,Ulex,europaeus,Ulex europaeus,Leguminosae,Exotic,Shrub,Long,Aut-Winter,Multiple,0,SC,5,6,
244,Urtica urens,Urtica.urens,Urtica_urens_C,Urtica,urens,Urtica urens,Urticaceae,Exotic,Annual Herb,Long,Summer,Multiple,0,CR,2,4,
245,Verbascum thapsus,Verbascum.thapsus,Verbascum_thapsus_C,Verbascum,thapsus,Verbascum thapsus,Scrophulariaceae,Exotic,Annual_Biennial Herb,Long,Aut-Winter,Multiple,1,CSR,1,5,
246,Verbascum virgatum,Verbascum.virgatum,Verbascum_virgatum_C,Verbascum,virgatum,Verbascum virgatum,Scrophulariaceae,Exotic,Biennial Herb,,,,,,,,
247,Veronica anagallisaquatica,Veronica.anagallisaquatica,Veronica_anagallis-aquatica_C,Veronica,anagallis-aquatica,Veronica anagallis-aquatica,Plantaginaceae,Exotic,Perennial Herb,Long,Summer,Wind,1,CSR,1,4,
248,Veronica arvensis,Veronica.arvensis,Veronica_arvensis_C,Veronica,arvensis,Veronica arvensis,Plantaginaceae,Exotic,Annual Herb,Long,Aut-Winter,Multiple,1,SR,1,2,
249,Veronica persica,Veronica.persica,Veronica_persica_C,Veronica,persica,Veronica persica,Plantaginaceae,Exotic,Annual Herb,Long,Summer,Multiple,1,R,3,4,
250,Veronica salicifolia,Veronica.salicifolia,Veronica_salicifolia_C,Veronica,salicifolia,Veronica salicifolia,Plantaginaceae,Non-endemic,Shrub,,,,,,,,
251,Vicia hirsuta,Vicia.hirsuta,Vicia_hirsuta_C,Vicia,hirsuta,Vicia hirsuta,Leguminosae,Exotic,Annual Herb,Long,Spring,Multiple,0,CSR,5,3,
252,Vicia sativa,Vicia.sativa,Vicia_sativa_C,Vicia,sativa,Vicia sativa,Leguminosae,Exotic,Annual Herb,Long,Aut-Winter,Multiple,0,CSR,6,5,
253,Vinca major,Vinca.major,Vinca_major_C,Vinca,major,Vinca major 'Variegata',Apocynaceae,Exotic,Shrub,,,,,,,,
254,Vittadinia australis,Vittadinia.australis,Vittadinia_australis_C,Vittadinia,australis,Vittadinia australis,Compositae,Endemic,Subshrub,,,,,,,,
255,Vulpia myuros,Vulpia.myuros,Vulpia_myuros_C,Vulpia,myuros,Vulpia myuros,Gramineae,Exotic,Annual Grass,Medium,Summer,Animal,0,SR,2,4,
256,Wahlenbergia albomarginata,Wahlenbergia.albomarginata,Wahlenbergia_albomarginata_C,Wahlenbergia,albomarginata,Wahlenbergia albomarginata,Campanulaceae,Endemic,Perennial Herb,,,,,,,,
257,Wahlenbergia gracilis,Wahlenbergia.gracilis,Wahlenbergia_gracilis_C,Wahlenbergia,gracilis,Wahlenbergia gracilis,Campanulaceae,Endemic,Perennial Herb,,,,,,,,
