"","signif","elev.R","elev.df","elev.P","slope.R","slope.df","slope.P","north.R","north.df","north.P","SRali.R","SRali.df","SRali.P","elev.slope","elev.slope.P","north.slope","north.slope.P","inter.slope","inter.P","total.R2","elev.R2"
"SR",NA,0.184302423926097,593,6.03999888673662e-06,0.331212979399183,593,1.06323073567266e-16,-0.070872601134572,593,0.0841127762164436,0.652145597433102,593,2.3745995616898e-73,0.00726560063772098,6.03999888673655e-06,NA,NA,NA,NA,0.0323383234034244,0.0339673834650347
"SRnat",NA,0.395359755944628,593,1.06589463677954e-23,0.330981379949585,593,1.11970199370754e-16,-0.191384118998984,593,2.5753013965426e-06,0.0106764332414708,593,0.794951739830315,0.0121458168711063,9.18621870772649e-26,0.590414068400745,0.298936779897154,-0.00697591164904775,3.19900306575959e-05,0.205349064052239,0.156309336620596
"SRali",NA,-0.179231682466468,593,1.09050653300717e-05,0.124654282952212,593,0.00231800109192921,0.115243552542268,593,0.00488434644803207,1,593,0,-0.00468371990409844,6.24926159336029e-06,-0.172008704223409,0.745067553016894,0.00318955538383153,0.0400103256660517,0.045442129268366,0.0321239959997607
"ACHMIL",1,0.00836894532132944,164,0.914778335416391,0.0265655158342799,164,0.734047534433381,0.166143849591966,164,0.0324089415538347,0.0304172875973105,164,0.697255393277017,0.000288539700925177,0.572715727571072,0.618986133334486,0.0240754075421807,-0.00104668360161746,0.145434683566311,0.0226728463534276,7.0039245791402e-05
"AGRCAP",NA,-0.0377844238976506,225,0.571163173577615,0.150839334995456,225,0.0230202264181751,-0.0742090497052093,225,0.265521402862931,-0.152578301099207,225,0.0214701083157619,-0.000275196451779764,0.571163173577622,NA,NA,NA,NA,-0.00301043658765909,0.00142766268927735
"AGRSTO",NA,-0.0905955032345104,33,0.604757163019923,-0.303523441614959,33,0.0763052375484445,0.238911389231593,33,0.166910730451433,-0.281252926280663,33,0.10168995909772,-0.000724934417835948,0.604757163019924,NA,NA,NA,NA,-0.0218467716056157,0.00820754520631419
"AIRCAR",NA,-0.0409074441250511,113,0.664235482626494,0.0454642668376933,113,0.629469686364638,-0.0541148807610092,113,0.565697820378821,0.0860067803011373,113,0.360748781850959,-0.000214017934061683,0.664235482626493,NA,NA,NA,NA,-0.00716132951971482,0.00167341898484418
"ANTODO",1,0.221107097962981,492,6.92468910019192e-07,0.0560076809959539,492,0.213995017352392,-0.161119005901877,492,0.000323776268072336,-0.0929757001780328,492,0.0388540281308174,0.00179548052191886,1.87320928039849e-07,-0.550560974788386,0.003452581228635,0.000590686708846224,0.256095465915591,0.0755943262899401,0.0488883487696112
"APHARV",NA,-0.0595833417037131,66,0.629339503788142,0.0203429176070654,66,0.869212467606332,0.0391383297795952,66,0.751334067655293,0.18009038287786,66,0.141676760102682,-0.000320634556667963,0.629339503788142,NA,NA,NA,NA,-0.0115475500185613,0.00355017460858144
"ARRELA",NA,-0.364252564782778,19,0.104517177220127,-0.0914945112180992,19,0.693259362842761,0.0258563373869799,19,0.911417098128799,0.140231050055624,19,0.544330277710908,-0.00256077068180133,0.104517177220127,NA,NA,NA,NA,0.0870315062640332,0.132679930950832
"BELPER",NA,0.0335920328687255,89,0.751921313444159,0.0554212292614684,89,0.601825144524843,-0.105365674535449,89,0.320222868773402,-0.0102654557026725,89,0.923063898447526,0.000531519179102112,0.429321226853739,-0.940460832077208,0.00841038906555061,0.0023404199011859,0.0156900796260104,0.0464549701480858,0.00112842467225353
"BRODIA",NA,-0.133489888263316,41,0.393445088452655,0.14420024463493,41,0.356239230079439,0.0520096711141015,41,0.740474721440802,-0.0169522660005694,41,0.914078636074509,-0.00103050865591295,0.393445088452656,NA,NA,NA,NA,-0.00613607045660469,0.0178195502685525
"BROHOR",NA,-0.121091817351367,348,0.0234722318010412,0.0377830791837953,348,0.481071859170472,-0.00535248265872338,348,0.92052035271393,0.0991437611263618,348,0.0639193777279663,-0.000788898270938056,0.0234722318010421,NA,NA,NA,NA,0.0118318007243691,0.0146632282294568
"CARPYC",NA,0.00748880779381411,159,0.924884164547193,-0.034419658971255,159,0.664679162439135,0.108498047016332,159,0.170684767912274,0.152445215281824,159,0.0535399477005902,5.06358406552077e-05,0.924884164547195,NA,NA,NA,NA,-0.00623287321542376,5.6082242172691e-05
"CARTEN",NA,0.0069038945223324,22,0.974458694999036,-0.145025533603333,22,0.498953264357701,-0.0442694671305027,22,0.837261280805409,0.474473270444529,22,0.0191492537403357,3.59431629585667e-05,0.974458694999037,NA,NA,NA,NA,-0.0454047151604438,4.76637595754913e-05
"CERFSV",NA,0.174523494850158,371,0.00071097399492683,0.0131074529691459,371,0.800802892762579,-0.127019044443562,371,0.0140938550037167,-0.0125113702238512,371,0.809684472770641,0.00090225424495094,0.000153342278143333,-0.360849646096812,0.00743177404709385,0.000579647214015762,0.104769922500152,0.0495111412469165,0.0304584502547131
"CERGLO",NA,0.195810791773416,166,0.0109678156689216,-0.00595517496428057,166,0.938931992319137,0.145528077219554,166,0.0598075993179,0.0950135792998775,166,0.220539151122466,0.00108625370431603,0.0109678156689216,NA,NA,NA,NA,0.0325487448868291,0.038341866174932
"CIRARV",NA,-0.0437147093024419,71,0.713449132574767,-0.170115506331885,71,0.150181037526189,-0.145411084310609,71,0.219640049461926,0.0381890184650462,71,0.748382793083492,-0.000254266494141544,0.713449132574766,NA,NA,NA,NA,-0.0121466160806114,0.001910975809397
"CIRVUL",NA,-0.0821968419607854,317,0.142975717949609,0.00284903297371451,317,0.959575968348297,0.127641569677436,317,0.0225996139717998,0.00269744111812496,317,0.961725168495566,-0.000261492375481859,0.294233090441508,0.211793312838328,0.0563039482732884,-0.000361226554954955,0.391189588452552,0.0159890329779698,0.00675632082832633
"CRECAP",NA,0.0964222724353543,420,0.0477589379979924,0.141743906918349,420,0.00352393978451513,-0.132783208689012,420,0.00630022386229918,0.0718743183959418,420,0.140477389788077,0.000466625693482513,0.0614260725642986,-0.194320852665105,0.149878464850698,7.9686883718196e-05,0.835203372062165,0.0190326464980626,0.00929725462159768
"CRIMUR",NA,-0.131287617069655,89,0.214802256605739,-0.232962925460609,89,0.02626470896049,0.166921518590973,89,0.11377873158815,-0.214984922302054,89,0.0407101159237196,-0.000870856730103144,0.214802256605739,NA,NA,NA,NA,0.00619415118679267,0.0172364383958283
"CYNCRI",1,-0.0247269567191975,437,0.605373165316023,-0.0533565553291762,437,0.264614214020513,-0.152339485571748,437,0.00136727564437611,-0.0805335452398444,437,0.0919321427930535,-0.000177551767388427,0.617650074372884,-0.533243116702086,0.00424746949004491,0.000814636697329321,0.129263361611641,0.0220083403313271,0.000611422388593065
"CYNECH",NA,-0.128578990770331,56,0.336093612578565,0.161023437033099,56,0.227231524627986,0.188690527119654,56,0.156038893008203,0.169313519054558,56,0.203878125391356,-0.00172412791026794,0.336093612578565,NA,NA,NA,NA,-0.00102936175984869,0.016532556867517
"DACGLO",1,0.04142604116384,504,0.35239678755137,0.000230819171695178,504,0.995867528678676,-0.0298081462189541,504,0.503490351689557,-0.125109387686647,504,0.00482655757141152,0.000292428452232796,0.352396787551375,NA,NA,NA,NA,-0.000264605103796445,0.00171611688650816
"DIGPUR",NA,-0.100715256310239,76,0.380287954181028,-0.0370192289615259,76,0.747621836772422,0.195320088451574,76,0.0865805885847815,0.40288873174732,76,0.00025513222363107,-0.000467037888950689,0.392897123289132,-0.315871901427931,0.369733690338587,0.00156123946074514,0.097478469274655,0.0468731236833577,0.0101435628536372
"ELYREC",NA,-0.0226835325972047,256,0.716882092870244,0.0630357628983882,256,0.313170749713415,0.0453593960600592,256,0.468197215335084,0.0538864859386961,256,0.388704751473333,-0.000267402620152393,0.483630858774759,-0.41024088282177,0.0471538147100711,0.00170358791827795,0.00532339797687473,0.0213095848648579,0.000514542651088448
"GERMOL",NA,-0.19034126785045,130,0.0288096450813606,0.00170712808566748,130,0.984500571981497,-0.178102711072138,130,0.0410378448536158,0.154152673313116,130,0.0775975865359734,-0.00126194790184449,0.0288096450813601,NA,NA,NA,NA,0.0288161813103545,0.0362297982469168
"HOLLAN",1,0.144869615118075,500,0.00113412146475545,-0.118939718937227,500,0.00763680665035247,-0.030043418656095,500,0.501833878108305,-0.111232314280004,500,0.0126408777155534,0.000939866754387338,0.00113412146475548,NA,NA,NA,NA,0.0190291797952281,0.0209872053844592
"HYPGLA",NA,0.123719637047249,45,0.407370598883264,0.194781386057156,45,0.189519026019489,-0.01500192515514,45,0.920277540401469,-0.0926279274230859,45,0.535745767263997,0.000581142689925524,0.407370598883264,NA,NA,NA,NA,-0.00657552810687245,0.0153065485911029
"HYPRAD",NA,0.196803169229636,540,3.90457255809933e-06,0.0952659479293659,540,0.0265683320409241,-0.102591591064444,540,0.0168843393146574,-0.0704991981619002,540,0.101101783003148,0.0010844315216131,3.9045725580998e-06,NA,NA,NA,NA,0.0369513605436784,0.0387314874188288
"LEOTAR",NA,-0.205013815439478,48,0.153228127502079,-0.044329166587502,48,0.759850833179777,0.0379228144782356,48,0.793732849218636,-0.0293948175626108,48,0.839416993455249,-0.00197592109904208,0.153228127502079,NA,NA,NA,NA,0.0220729700319077,0.0420306645210523
"LOLPER",1,-0.0886848524561979,519,0.043032373045228,-0.189677875125061,519,1.30831918173799e-05,0.00188483452968966,519,0.965766220906705,-0.000354038581992563,519,0.993567786593544,-0.00112555238139461,0.00275915678533491,-0.569086411075085,0.00127018543311544,0.00218594347231771,0.000138899290459827,0.0297774412255728,0.00786500305517759
"PHLPRA",NA,-0.274587384612384,27,0.149434157787364,-0.134307746750301,27,0.487298549713385,0.191194100083659,27,0.320453409059816,-0.0507030549446638,27,0.793936975876723,-0.00209872259052518,0.149434157787364,NA,NA,NA,NA,0.0411537218545017,0.0753982317882695
"PLALAN",NA,-0.143371740354262,161,0.0678796133129509,0.0220983786816423,161,0.779480467204671,0.160940717561624,161,0.0401367361086121,0.0771019283045797,161,0.327949206538042,-0.000890759186514337,0.067879613312951,NA,NA,NA,NA,0.0144719494473169,0.0205554559322098
"POAPRA",NA,-0.0504174672103277,236,0.438812339854777,-0.184541650392681,236,0.00428264077383673,-0.00720321918342059,236,0.911979362547725,0.0884278581387847,236,0.173930801177975,-0.000247819924470767,0.438812339854779,NA,NA,NA,NA,-0.0016845962839942,0.00254192099990447
"POLTET",NA,0.113823757016498,47,0.436136783693906,0.0837624186814831,47,0.567181350272826,-0.0492393857561125,47,0.736884662529687,0.055258474962532,47,0.706090299016472,0.000826731697318518,0.436136783693906,NA,NA,NA,NA,-0.00804509175010981,0.0129558476613507
"RUMACE",NA,-0.0364771918760041,233,0.577945445974764,-0.0365486829017815,233,0.577199882631916,0.0611529452921951,233,0.350648562368261,0.117665739829628,233,0.071793890298877,-0.000164501328850757,0.577945445974767,NA,NA,NA,NA,-0.00295554929890507,0.00133058552715882
"RYTCAE",NA,-0.286013032937553,37,0.0775437940997207,-0.164157026996857,37,0.317987759360694,0.395459358639217,37,0.0127096965900274,-0.11925179528126,37,0.469628511809418,-0.00354037356204771,0.0775437940997208,NA,NA,NA,NA,0.0569873321725741,0.0818034550101378
"RYTRAC",NA,-0.339536934428824,98,0.000548364193467533,0.113331534026568,98,0.26156992321241,0.158463376363163,98,0.115330801926023,-0.18409635617131,98,0.0667248581414939,-0.0036651892897087,0.000548364193467533,NA,NA,NA,NA,0.106257629125419,0.115285329841323
"SILGAL",NA,-0.0463514825729587,95,0.652109498928259,0.14349356604897,95,0.160857077682418,-0.0728339552279422,95,0.478340332252424,0.154746903866769,95,0.130164114155993,-0.000312468733223178,0.652109498928257,NA,NA,NA,NA,-0.00835524048500758,0.0021484599367113
"STEMED",NA,0.205330414818326,80,0.0642310935855728,-0.0514457264407381,80,0.646224713982688,-0.130474876142857,80,0.2426598515884,-0.0991627058094937,80,0.375424408814748,0.00104556656668942,0.0642310935855733,NA,NA,NA,NA,0.0301875864900844,0.0421605792494659
"TAROFF",NA,-0.131851702094383,170,0.0846816406199685,-0.0506414238809352,170,0.509422870984717,-0.0530991524477608,170,0.489063473055015,-0.166436308894547,170,0.0291008085254208,-0.000470516989190529,0.0846816406199702,NA,NA,NA,NA,0.0116047823530987,0.0173848713451859
"TRIDUB",NA,0.0330391033926173,404,0.506787469950143,0.0465335291160907,404,0.349664388110565,-0.0979743917176344,404,0.0485193587724446,0.0759060888016967,404,0.126772620415028,0.000200368401308358,0.506787469950142,NA,NA,NA,NA,-0.00138096323524728,0.00109158235298806
"TRIGLO",NA,-0.0994476722140781,191,0.168818567929278,0.0105852570831838,191,0.883839364899074,0.0126617475107992,191,0.861262760234097,0.0480846374587705,191,0.506653229619013,-0.00100641620950947,0.168818567929279,NA,NA,NA,NA,0.00470601667900195,0.00988983950879872
"TRIPRA",NA,-0.0624892932323198,66,0.612687086856896,0.000696628756357217,66,0.995501515927914,-0.00400252731565782,66,0.97415793983602,0.117312133211392,66,0.340721523952661,-0.000530473304688049,0.612687086856897,NA,NA,NA,NA,-0.0111874380530119,0.00390491176867485
"TRIREP",1,0.0553936482224546,518,0.207273495037966,-0.243135155254217,518,1.96025332594983e-08,0.00977370108569955,518,0.824046385014727,-0.073306718508437,518,0.0949441274284866,0.000375446867972089,0.207273495037975,NA,NA,NA,NA,0.00114387799363114,0.00306845626339304
"TRISTT",1,-0.173033945126803,180,0.0194954059499767,0.045826718544307,180,0.539017444729168,-0.0257034409959424,180,0.730525823717575,-0.106093627893583,180,0.154028290614014,-0.00147527553567166,0.0194954059499767,NA,NA,NA,NA,0.0245515280892906,0.0299407461661454
"TRISUB",NA,0.0317236335911391,130,0.718023871034773,0.0507605581782463,130,0.563250381340021,-0.0259509072016346,130,0.76771340347645,-0.0107984879758631,130,0.90219519558188,0.000267375686738024,0.718023871034774,NA,NA,NA,NA,-0.0066781773107889,0.00100638892822485
"VICSAT",NA,0.0415887594328422,315,0.460598934944881,0.111421027079989,315,0.0474642283496556,-0.097135561412135,315,0.0842210451858366,-0.111362909637194,315,0.0475807573774944,0.000210724012565973,0.468087943743066,-0.436912566590909,0.00571493710729982,0.000988096040911669,0.028720770863264,0.0171366757187932,0.00172962491116282
"VULBRO",NA,-0.191523056236542,203,0.00594249489430275,0.0488656440273903,203,0.486562116075038,0.0731399170686402,203,0.297320166943101,-0.13486928922519,203,0.0538495531858997,-0.00154849621219336,0.0059424948943027,NA,NA,NA,NA,0.0319356676764425,0.0366810810701855
