"","SurveyName","SurveyStartYear","SurveyEndYear","PlotName","PlotFK","SpeciesCode","SpeciesName","HeightClassDescription","DominanceClass","DominanceClassDescription","DominanceRank","SpeciesType","domlevels","abun","SpeciesCode.tmp"
"4488","Banks Peninsula Botanical Survey",1983,1988,"170",94439,"RADULA","Radula","No Height Class","B","Common",17,"Non-Vascular",4,3,"RADULA"
"4517","Banks Peninsula Botanical Survey",1983,1988,"170",94439,"SCHAPC","Schistidium apocarpum (Hedw.) Bruch & Schimp.","No Height Class","C","Occasional",46,"Non-Vascular",6,1,"SCHAPC"
"4644","Banks Peninsula Botanical Survey",1983,1988,"174",95271,"WIJKIA","Wijkia H.A.Crum","No Height Class","C","Occasional",31,"Non-Vascular",6,1,"WIJKIA"
"4798","Banks Peninsula Botanical Survey",1983,1988,"178",95320,"FRULLA","FRULLANIA SPECIES","No Height Class","C","Occasional",37,"Non-Vascular",6,1,"FRULLA"
"4920","Banks Peninsula Botanical Survey",1983,1988,"184",94263,"WERERY","Weraroa erythrocephala (Tul. & C.Tul.) Singer & A.H.Sm.","No Height Class","C","Occasional",22,"Non-Vascular",6,1,"WERERY"
"5037","Banks Peninsula Botanical Survey",1983,1988,"189",94825,"PORPHY","Porphyra C.Agardh","No Height Class","B","Common",4,"Non-Vascular",4,3,"PORPHY"
"5129","Banks Peninsula Botanical Survey",1983,1988,"194",94340,"POLJUN","POLYTRICHUM JUNIPERINUM","No Height Class","B-C","Common-Occasional",22,"Non-Vascular",5,2,"POLJUN"
"5207","Banks Peninsula Botanical Survey",1983,1988,"197",94040,"PSECAP","Pseudoparmelia caperata","No Height Class","A","Abundant",15,"Non-Vascular",2,5,"PSECAP"
"5240","Banks Peninsula Botanical Survey",1983,1988,"198",94041,"HYMALP","HYMENANTHERA ALPINA","No Height Class","B-C","Common-Occasional",8,"Vascular",5,2,"HYMALP"
"5248","Banks Peninsula Botanical Survey",1983,1988,"198",94041,"PSEUDO","PSEUDOPANAX SPECIES","No Height Class","A-B","Abundant-Common",16,"Non-Vascular",3,4,"PSEUDO"
"5359","Banks Peninsula Botanical Survey",1983,1988,"202",94441,"ENTINT","Enteromorpha intestinalis (L.) Link","No Height Class","C","Occasional",1,"Non-Vascular",6,1,"ENTINT"
"5360","Banks Peninsula Botanical Survey",1983,1988,"202",94441,"ULVA","Ulva","No Height Class","C","Occasional",2,"Non-Vascular",6,1,"ULVA"
"5372","Banks Peninsula Botanical Survey",1983,1988,"203",95104,"STRMIC","STREBLUS MICROPHYLLA","No Height Class","C","Occasional",12,"Vascular",6,1,"STRMIC"
"5401","Banks Peninsula Botanical Survey",1983,1988,"204",95103,"TORBEA","Tortula bealeyensis R.Br.bis","No Height Class","A-B","Abundant-Common",7,"Non-Vascular",3,4,"TORBEA"
"5402","Banks Peninsula Botanical Survey",1983,1988,"204",95103,"EURHYN","Eurhynchium Bruch & Schimp.","No Height Class","A-B","Abundant-Common",8,"Non-Vascular",3,4,"EURHYN"
"5421","Banks Peninsula Botanical Survey",1983,1988,"204",95103,"LEPSMI","LEPTODON SMITHII","No Height Class","C","Occasional",27,"Non-Vascular",6,1,"LEPSMI"
"5507","Banks Peninsula Botanical Survey",1983,1988,"206",95267,"STOPRA","Stokesiella praelonga (Hedw.) H.Rob.","No Height Class","C","Occasional",30,"Non-Vascular",6,1,"STOPRA"
"5624","Banks Peninsula Botanical Survey",1983,1988,"213",95379,"DURANT","Durvillaea antarctica","No Height Class","B","Common",1,"Non-Vascular",4,3,"DURANT"
"5862","Banks Peninsula Botanical Survey",1983,1988,"225",94198,"BETVUL","Beta vulgaris L.","No Height Class","B","Common",6,"Vascular",4,3,"BETVUL"
"5902","Banks Peninsula Botanical Survey",1983,1988,"227",94853,"POHLIA","POHLIA SPECIES","No Height Class","B-C","Common-Occasional",12,"Non-Vascular",5,2,"POHLIA"
"6018","Banks Peninsula Botanical Survey",1983,1988,"230",94065,"ANTHOC","Anthoceros","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"ANTHOC"
"6166","Banks Peninsula Botanical Survey",1983,1988,"233",94302,"HYPOGY","Hypogymnia (Nyl.) Nyl.","No Height Class","B","Common",50,"Non-Vascular",4,3,"HYPOGY"
"6189","Banks Peninsula Botanical Survey",1983,1988,"234",94301,"PTEDEN","Pterygophyllum dentatum (Hook.f. & Wilson) Mitt.","No Height Class","B-C","Common-Occasional",22,"Non-Vascular",5,2,"PTEDEN"
"6251","Banks Peninsula Botanical Survey",1983,1988,"236",94297,"PTYCHO","PTYCHOMNION SPECIES","No Height Class","B-C","Common-Occasional",24,"Non-Vascular",5,2,"PTYCHO"
"6252","Banks Peninsula Botanical Survey",1983,1988,"236",94297,"BOLETU","Boletus L.","No Height Class","B-C","Common-Occasional",25,"Non-Vascular",5,2,"BOLETU"
"6343","Banks Peninsula Botanical Survey",1983,1988,"239",95102,"PAPNIT","Papillaria nitens (Hook.f. & Wilson) Sainsbury","No Height Class","B-C","Common-Occasional",13,"Non-Vascular",5,2,"PAPNIT"
"6346","Banks Peninsula Botanical Survey",1983,1988,"239",95102,"HEDCIL","HEDWIGIA CILIATA","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"HEDCIL"
"6350","Banks Peninsula Botanical Survey",1983,1988,"239",95102,"RINTHI","Rinodina thiomela (Nyl.) Müll.Arg.","No Height Class","B","Common",20,"Non-Vascular",4,3,"RINTHI"
"6352","Banks Peninsula Botanical Survey",1983,1988,"239",95102,"NECLAE","Neckera laevigata Hook.f. & Wilson","No Height Class","B","Common",22,"Non-Vascular",4,3,"NECLAE"
"6353","Banks Peninsula Botanical Survey",1983,1988,"239",95102,"CALMNI","Calyptopogon mnioides (Schwägr.) Broth.","No Height Class","C","Occasional",23,"Non-Vascular",6,1,"CALMNI"
"6393","Banks Peninsula Botanical Survey",1983,1988,"240",95305,"CAMINT","Campylopus introflexus (Hedw.) Brid.","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"CAMINT"
"6663","Banks Peninsula Botanical Survey",1983,1988,"252",94051,"SCIANT","SCIRPUS ANTARTICUS","No Height Class","C","Occasional",31,"Vascular",6,1,"SCIANT"
"6976","Banks Peninsula Botanical Survey",1983,1988,"265",94346,"RHYNCH","Rhynchostegium Bruch & Schimp.","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"RHYNCH"
"7101","Banks Peninsula Botanical Survey",1983,1988,"269",94077,"STEREO","STEREOCAULON SPECIES","No Height Class","C","Occasional",24,"Non-Vascular",6,1,"STEREO"
"7210","Banks Peninsula Botanical Survey",1983,1988,"273",94298,"SALQUI","Salicornia quinqueflora Bunge ex Ung.-Sternb.","No Height Class","C","Occasional",2,"Vascular",6,1,"SALQUI"
"7318","Banks Peninsula Botanical Survey",1983,1988,"277",95297,"ECHHIS","ECHINODIUM HISPIDUM","No Height Class","C","Occasional",13,"Non-Vascular",6,1,"ECHHIS"
"7328","Banks Peninsula Botanical Survey",1983,1988,"277",95297,"ASTERE","Asterella","No Height Class","B-C","Common-Occasional",23,"Non-Vascular",5,2,"ASTERE"
"7335","Banks Peninsula Botanical Survey",1983,1988,"277",95297,"NECPEN","NECKERA PENNATA","No Height Class","C","Occasional",30,"Non-Vascular",6,1,"NECPEN"
"7377","Banks Peninsula Botanical Survey",1983,1988,"278",95298,"PSEDEL","Pseudocyphellaria delisea","No Height Class","C","Occasional",41,"Non-Vascular",6,1,"PSEDEL"
"7527","Banks Peninsula Botanical Survey",1983,1988,"285",94522,"UREFUC","Uredo fuchsiae Henn.","No Height Class","B","Common",2,"Non-Vascular",4,3,"UREFUC"
"7534","Banks Peninsula Botanical Survey",1983,1988,"285",94522,"LECBLA","Lecanora blanda Nyl.","No Height Class","B","Common",9,"Non-Vascular",4,3,"LECBLA"
"7862","Banks Peninsula Botanical Survey",1983,1988,"296",94371,"PLACOP","Placopsis (Nyl.) Linds.","No Height Class","B-C","Common-Occasional",26,"Non-Vascular",5,2,"PLACOP"
"8003","Banks Peninsula Botanical Survey",1983,1988,"302",94864,"HYPNUM","HYPNUM SPECIES","No Height Class","C","Occasional",30,"Non-Vascular",6,1,"HYPNUM"
"8232","Banks Peninsula Botanical Survey",1983,1988,"309",94078,"PTYACI","PTYCHOMNION ACICULARE","No Height Class","B-C","Common-Occasional",24,"Non-Vascular",5,2,"PTYACI"
"8286","Banks Peninsula Botanical Survey",1983,1988,"312",94429,"ULOTHR","Ulothrix","No Height Class","A-D","Abundant-Dominant",1,"Non-Vascular",1,6,"ULOTHR"
"8297","Banks Peninsula Botanical Survey",1983,1988,"312",94429,"BRYBLA","BRYUM BLANDUM","No Height Class","C","Occasional",12,"Non-Vascular",6,1,"BRYBLA"
"8337","Banks Peninsula Botanical Survey",1983,1988,"314",95111,"DIPLOS","Diploschistes Norman","No Height Class","C","Occasional",23,"Non-Vascular",6,1,"DIPLOS"
"8351","Banks Peninsula Botanical Survey",1983,1988,"314",95111,"BRARUT","BRACHYTHECIUM RUTABULUM","No Height Class","C","Occasional",37,"Non-Vascular",6,1,"BRARUT"
"8417","Banks Peninsula Botanical Survey",1983,1988,"317",95296,"TORROB","Tortula robusta Hook. & Grev.","No Height Class","B","Common",9,"Non-Vascular",4,3,"TORROB"
"8474","Banks Peninsula Botanical Survey",1983,1988,"319",95301,"RUBSXS","Rubus schmidelioides × squarrosus","No Height Class","B","Common",5,"Vascular",4,3,"RUBSXS"
"8685","Banks Peninsula Botanical Survey",1983,1988,"326",94525,"WIJEXT","Wijkia extenuata (Brid.) H.A.Crum","No Height Class","B-C","Common-Occasional",24,"Non-Vascular",5,2,"WIJEXT"
"8686","Banks Peninsula Botanical Survey",1983,1988,"326",94525,"LEPTOG","Leptogium (Ach.) Gray","No Height Class","C","Occasional",25,"Non-Vascular",6,1,"LEPTOG"
"8784","Banks Peninsula Botanical Survey",1983,1988,"329",95232,"SIPHUL","Siphula Fr.","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"SIPHUL"
"8952","Banks Peninsula Botanical Survey",1983,1988,"337",94373,"HOMPUL","Homalia pulchella Wilson","No Height Class","C","Occasional",17,"Non-Vascular",6,1,"HOMPUL"
"8964","Banks Peninsula Botanical Survey",1983,1988,"337",94373,"RHIZOG","Rhizogonium Brid.","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"RHIZOG"
"8987","Banks Peninsula Botanical Survey",1983,1988,"338",94375,"BARTRA","BARTRAMIA SPECIES","No Height Class","B","Common",20,"Non-Vascular",4,3,"BARTRA"
"8988","Banks Peninsula Botanical Survey",1983,1988,"338",94375,"ACROCL","ACROCLADIUM SPECIES","No Height Class","B","Common",21,"Non-Vascular",4,3,"ACROCL"
"9193","Banks Peninsula Botanical Survey",1983,1988,"344",94875,"FABAUS","Fabronia australis Hook.","No Height Class","C","Occasional",44,"Non-Vascular",6,1,"FABAUS"
"9278","Banks Peninsula Botanical Survey",1983,1988,"348",94344,"RANBPM","Ranunculus tagname B.P. multiscapus","No Height Class","B","Common",8,"Vascular",4,3,"RANBPM"
"9305","Banks Peninsula Botanical Survey",1983,1988,"348",94344,"POLYTR","POLYTRICHUM SPECIES","No Height Class","C","Occasional",35,"Non-Vascular",6,1,"POLYTR"
"9326","Banks Peninsula Botanical Survey",1983,1988,"349",94074,"MACROM","MACROMITRIUM SPECIES","No Height Class","B-C","Common-Occasional",21,"Non-Vascular",5,2,"MACROM"
"9329","Banks Peninsula Botanical Survey",1983,1988,"349",94074,"CLADIA","CLADIA SPECIES","No Height Class","B-C","Common-Occasional",24,"Non-Vascular",5,2,"CLADIA"
"9340","Banks Peninsula Botanical Survey",1983,1988,"349",94074,"ENTPER","Entoloma perzonatum E.Horak","No Height Class","C","Occasional",35,"Non-Vascular",6,1,"ENTPER"
"9581","Banks Peninsula Botanical Survey",1983,1988,"357",95114,"ACHDEN","Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby","No Height Class","C","Occasional",39,"Non-Vascular",6,1,"ACHDEN"
"9582","Banks Peninsula Botanical Survey",1983,1988,"357",95114,"PHITEN","PHILONOTIS TENUIS","No Height Class","C","Occasional",40,"Non-Vascular",6,1,"PHITEN"
"9585","Banks Peninsula Botanical Survey",1983,1988,"357",95114,"PLAROS","Plagiomnium rostratum","No Height Class","C","Occasional",43,"Non-Vascular",6,1,"PLAROS"
"9885","Banks Peninsula Botanical Survey",1983,1988,"368",95352,"SCHISD","Schistidium Brid.","No Height Class","C","Occasional",21,"Non-Vascular",6,1,"SCHISD"
"9886","Banks Peninsula Botanical Survey",1983,1988,"368",95352,"BASIDI","Basidiomycetes","No Height Class","C","Occasional",22,"Non-Vascular",6,1,"BASIDI"
"10194","Banks Peninsula Botanical Survey",1983,1988,"380",94367,"ORTHOT","Orthotrichum Hedw.","No Height Class","B","Common",14,"Non-Vascular",4,3,"ORTHOT"
"10195","Banks Peninsula Botanical Survey",1983,1988,"380",94367,"NECKER","Neckera Hedw.","No Height Class","B","Common",15,"Non-Vascular",4,3,"NECKER"
"10340","Banks Peninsula Botanical Survey",1983,1988,"385",94859,"PHYPYR","Physcomitrium pyriforme (Hedw.) Hampe","No Height Class","B","Common",10,"Non-Vascular",4,3,"PHYPYR"
"10341","Banks Peninsula Botanical Survey",1983,1988,"385",94859,"PHALAE","Phaeoceros laevis (L.) Prosk.","No Height Class","C","Occasional",11,"Non-Vascular",6,1,"PHALAE"
"10505","Banks Peninsula Botanical Survey",1983,1988,"390",94100,"NOSTOC","Nostoc","No Height Class","C","Occasional",40,"Non-Vascular",6,1,"NOSTOC"
"10513","Banks Peninsula Botanical Survey",1983,1988,"390",94100,"WAHMAR","WAHLENBERGIA MARGINATA","No Height Class","C","Occasional",48,"Vascular",6,1,"WAHMAR"
"10801","Banks Peninsula Botanical Survey",1983,1988,"401",95112,"TORPRI","Tortula princeps De Not.","No Height Class","C","Occasional",21,"Non-Vascular",6,1,"TORPRI"
"10970","Banks Peninsula Botanical Survey",1983,1988,"408",94531,"RHIMNI","Rhizogonium mnioides auct., including Sainsbury, 1955","No Height Class","B-C","Common-Occasional",17,"Non-Vascular",5,2,"RHIMNI"
"10990","Banks Peninsula Botanical Survey",1983,1988,"408",94531,"ASPGXH","Asplenium gracillimum × hookerianum","No Height Class","C","Occasional",37,"Vascular",6,1,"ASPGXH"
"11095","Banks Peninsula Botanical Survey",1983,1988,"414",95225,"HEPATI","Hepaticae","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"HEPATI"
"11160","Banks Peninsula Botanical Survey",1983,1988,"416",95227,"PORELL","Porella","No Height Class","C","Occasional",38,"Non-Vascular",6,1,"PORELL"
"11682","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"PLAGIC","PLAGIOCHILA SPECIES","No Height Class","B-C","Common-Occasional",20,"Non-Vascular",5,2,"PLAGIC"
"11683","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"CATPOL","Catagonium politum (Hook.f. & Wilson) Dusén","No Height Class","B-C","Common-Occasional",21,"Non-Vascular",5,2,"CATPOL"
"11684","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"PSEBIL","Pseudocyphellaria billardieri sensu D.J.Galloway & P.James","No Height Class","B-C","Common-Occasional",22,"Non-Vascular",5,2,"PSEBIL"
"11686","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"DICMEN","DICRANUM MENZIESII","No Height Class","B-C","Common-Occasional",24,"Non-Vascular",5,2,"DICMEN"
"11690","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"SPHAER","Sphaerophorus Pers.","No Height Class","C","Occasional",28,"Non-Vascular",6,1,"SPHAER"
"11699","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"STILAT","Sticta latifrons A.Rich.","No Height Class","C","Occasional",37,"Non-Vascular",6,1,"STILAT"
"11702","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"WEYMOL","WEYMOUTHIA MOLLIS","No Height Class","B-C","Common-Occasional",40,"Non-Vascular",5,2,"WEYMOL"
"11704","Banks Peninsula Botanical Survey",1983,1988,"436",94362,"NIDCAN","Nidula candida (Peck) V.S.White","No Height Class","C","Occasional",42,"Non-Vascular",6,1,"NIDCAN"
"11743","Banks Peninsula Botanical Survey",1983,1988,"437",94070,"DICGOL","Dicranoloma tagname golden","No Height Class","C","Occasional",34,"Non-Vascular",6,1,"DICGOL"
"11752","Banks Peninsula Botanical Survey",1983,1988,"437",94070,"SYMPHY","Symphyogyna","No Height Class","C","Occasional",43,"Non-Vascular",6,1,"SYMPHY"
"11754","Banks Peninsula Botanical Survey",1983,1988,"437",94070,"POLYTC","Polytrichaceae","No Height Class","B","Common",45,"Non-Vascular",4,3,"POLYTC"
"11758","Banks Peninsula Botanical Survey",1983,1988,"437",94070,"CLADEG","Cladonia degenerarum","No Height Class","C","Occasional",49,"Non-Vascular",6,1,"CLADEG"
"11764","Banks Peninsula Botanical Survey",1983,1988,"437",94070,"ATRLIG","Atrichum ligulatum (Mitt.) Mitt.","No Height Class","C","Occasional",55,"Non-Vascular",6,1,"ATRLIG"
"11779","Banks Peninsula Botanical Survey",1983,1988,"438",94805,"COPPRR","Coprosma (propinqua × robusta) × robusta","No Height Class","C","Occasional",15,"Vascular",6,1,"COPPRR"
"11841","Banks Peninsula Botanical Survey",1983,1988,"440",94816,"SCLERO","Scleroderma","No Height Class","C","Occasional",17,"Non-Vascular",6,1,"SCLERO"
"11860","Banks Peninsula Botanical Survey",1983,1988,"440",94816,"BRYTRU","Bryum truncorum sensu Sainsbury","No Height Class","C","Occasional",36,"Non-Vascular",6,1,"BRYTRU"
"11864","Banks Peninsula Botanical Survey",1983,1988,"440",94816,"CANDEL","Candelariella Müll.Arg.","No Height Class","C","Occasional",40,"Non-Vascular",6,1,"CANDEL"
"11877","Banks Peninsula Botanical Survey",1983,1988,"440",94816,"HYGROP","Hygrophorus","No Height Class","C","Occasional",53,"Non-Vascular",6,1,"HYGROP"
"11879","Banks Peninsula Botanical Survey",1983,1988,"440",94816,"PTERYG","Pterygophyllum Brid.","No Height Class","C","Occasional",55,"Non-Vascular",6,1,"PTERYG"
"11977","Banks Peninsula Botanical Survey",1983,1988,"443",94434,"HAEMAM","Haematomma A.Massal.","No Height Class","B","Common",27,"Non-Vascular",4,3,"HAEMAM"
"12088","Banks Peninsula Botanical Survey",1983,1988,"445",95380,"FRUFAL","Frullania falciloba Lehm.","No Height Class","C","Occasional",57,"Non-Vascular",6,1,"FRUFAL"
"12168","Banks Peninsula Botanical Survey",1983,1988,"449",94778,"XANSCA","Xanthoparmelia scabrosa (Taylor) Hale","No Height Class","B-C","Common-Occasional",1,"Non-Vascular",5,2,"XANSCA"
"12169","Banks Peninsula Botanical Survey",1983,1988,"449",94778,"XANLIG","Xanthoria ligulata (Körb.) P.James","No Height Class","C","Occasional",2,"Non-Vascular",6,1,"XANLIG"
"12281","Banks Peninsula Botanical Survey",1983,1988,"453",94770,"DREPAN","DREPANOCLADUS SPECIES","No Height Class","C","Occasional",33,"Non-Vascular",6,1,"DREPAN"
"12282","Banks Peninsula Botanical Survey",1983,1988,"453",94770,"CAMGRA","Camptochaete gracilis (Hook.f. & Wilson) Paris","No Height Class","C","Occasional",34,"Non-Vascular",6,1,"CAMGRA"
"12529","Banks Peninsula Botanical Survey",1983,1988,"462",94935,"CALELE","Caloplaca elegans","No Height Class","C","Occasional",15,"Non-Vascular",6,1,"CALELE"
"12530","Banks Peninsula Botanical Survey",1983,1988,"462",94935,"XANELE","Xanthoria elegans (Link) Th.Fr.","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"XANELE"
"12701","Banks Peninsula Botanical Survey",1983,1988,"469",94664,"COPRIN","Coprinus Pers.","No Height Class","C","Occasional",21,"Non-Vascular",6,1,"COPRIN"
"12895","Banks Peninsula Botanical Survey",1983,1988,"476",94030,"MEGPEL","Megaceros pellucidus (Colenso) E.A.Hodgs.","No Height Class","B-C","Common-Occasional",20,"Non-Vascular",5,2,"MEGPEL"
"12897","Banks Peninsula Botanical Survey",1983,1988,"476",94030,"BARPAP","BARTRAMIA PAPILLATA","No Height Class","B-C","Common-Occasional",22,"Non-Vascular",5,2,"BARPAP"
"12906","Banks Peninsula Botanical Survey",1983,1988,"476",94030,"FOSSOM","Fossombronia","No Height Class","C","Occasional",31,"Non-Vascular",6,1,"FOSSOM"
"13037","Banks Peninsula Botanical Survey",1983,1988,"480",94096,"PSOROM","PSOROMA SPECIES","No Height Class","B","Common",14,"Non-Vascular",4,3,"PSOROM"
"13054","Banks Peninsula Botanical Survey",1983,1988,"480",94096,"COTDXP","Cotula dioica × perpusilla","No Height Class","C","Occasional",31,"Vascular",6,1,"COTDXP"
"13060","Banks Peninsula Botanical Survey",1983,1988,"480",94096,"CAMPYL","CAMPYLIUM SPECIES","No Height Class","C","Occasional",37,"Non-Vascular",6,1,"CAMPYL"
"13099","Banks Peninsula Botanical Survey",1983,1988,"481",94361,"EHRDIP","EHRHARTA DIPLAX","No Height Class","B","Common",9,"Vascular",4,3,"EHRDIP"
"13319","Banks Peninsula Botanical Survey",1983,1988,"488",94275,"HYMENA","HYMENANTHERA SPECIES","No Height Class","C","Occasional",30,"Vascular",6,1,"HYMENA"
"13704","Banks Peninsula Botanical Survey",1983,1988,"500",95358,"RACOPI","Racopilum P.Beauv.","No Height Class","B","Common",13,"Non-Vascular",4,3,"RACOPI"
"13707","Banks Peninsula Botanical Survey",1983,1988,"500",95358,"CYABUL","CYATHOPHORUM BULBOSUM","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"CYABUL"
"13708","Banks Peninsula Botanical Survey",1983,1988,"500",95358,"THULAE","THUIDIUM LAEVIUSCULUM","No Height Class","B-C","Common-Occasional",17,"Non-Vascular",5,2,"THULAE"
"13831","Banks Peninsula Botanical Survey",1983,1988,"504",94944,"PUCOBT","Puccinia obtegens","No Height Class","C","Occasional",23,"Non-Vascular",6,1,"PUCOBT"
"14161","Banks Peninsula Botanical Survey",1983,1988,"518",94675,"LOLMXP","Lolium multiflorum × perenne","No Height Class","C","Occasional",19,"Vascular",6,1,"LOLMXP"
"14354","Banks Peninsula Botanical Survey",1983,1988,"523",94092,"MNIROS","Mnium rostratum sensu Allison & Child","No Height Class","C","Occasional",59,"Non-Vascular",6,1,"MNIROS"
"14802","Banks Peninsula Botanical Survey",1983,1988,"536",94273,"MYCENA","Mycena  (Pers.) Roussel","No Height Class","C","Occasional",33,"Non-Vascular",6,1,"MYCENA"
