"","SR.th","SR.th.CI","SR.pth","SR.pth.CI","SRnat.th","SRnat.th.CI","SRnat.pth","SRnat.pth.CI","SRali.th","SRali.th.CI","SRali.pth","SRali.pth.CI","status"
"ACHMIL",2,5,NA,NA,2,2,NA,NA,5,NA,NA,NA,"ALIEN"
"AGRCAP",2,5,NA,NA,NA,NA,6,NA,4,5,NA,NA,"ALIEN"
"AGRSTO",2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,"ALIEN"
"AIRCAR",5,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,"ALIEN"
"ANTODO",6,NA,NA,NA,6,6,NA,NA,NA,NA,6,NA,"ALIEN"
"APHARV",NA,NA,3,NA,NA,NA,4,NA,NA,NA,2,NA,"ALIEN"
"ARRELA",4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"ASPFLB",NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,NA,"NATIVE"
"BELPER",NA,NA,3,NA,NA,NA,3,NA,NA,NA,5,NA,"ALIEN"
"BRODIA",5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"BROHOR",4,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"CALTUG",NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,"NATIVE"
"CARBRE",2,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,"NATIVE"
"CARPYC",NA,NA,6,NA,6,NA,NA,NA,NA,NA,6,NA,"ALIEN"
"CERFSV",NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,"ALIEN"
"CERGLO",NA,NA,5,NA,3,NA,NA,NA,NA,NA,5,NA,"ALIEN"
"CIRARV",6,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,"ALIEN"
"CIRVUL",4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"COPPAR",NA,NA,2,NA,NA,NA,3,NA,3,NA,NA,NA,"NATIVE"
"CRASIE",2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,"NATIVE"
"CRECAP",4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"CRIMUR",3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,"ALIEN"
"CYNCRI",4,4,NA,NA,4,5,NA,NA,2,5,NA,NA,"ALIEN"
"CYNECH",NA,NA,2,5,NA,NA,2,5,NA,NA,5,5,"ALIEN"
"DACGLO",4,5,NA,NA,4,6,NA,NA,5,5,NA,NA,"ALIEN"
"DICREP",3,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,"NATIVE"
"DIGPUR",NA,NA,2,3,3,NA,NA,NA,NA,NA,2,3,"ALIEN"
"ELYREC",5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"FESCOM",3,5,NA,NA,3,NA,NA,NA,3,5,NA,NA,"ALIEN"
"FESNOV",6,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,"NATIVE"
"GERMIC",NA,NA,4,NA,NA,NA,4,NA,2,3,NA,NA,"NATIVE"
"GERMOL",5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"GNAAUD",2,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,"NATIVE"
"HELBEL",NA,NA,4,NA,NA,NA,4,NA,3,3,NA,NA,"NATIVE"
"HELFIL",NA,NA,2,NA,NA,NA,5,NA,5,NA,NA,NA,"NATIVE"
"HOLLAN",4,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"HYDMON",5,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,"NATIVE"
"HYPGLA",3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,"ALIEN"
"HYPRAD",NA,NA,2,3,NA,NA,2,3,4,5,NA,NA,"ALIEN"
"JUNDIS",5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,"NATIVE"
"JUNEDG",4,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,"NATIVE"
"LEOTAR",NA,NA,4,NA,5,NA,NA,NA,NA,NA,4,NA,"ALIEN"
"LINBIE",4,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,"ALIEN"
"LOLPER",5,5,NA,NA,3,4,NA,NA,6,NA,NA,NA,"ALIEN"
"MICUNI",NA,NA,2,NA,4,NA,NA,NA,NA,NA,3,NA,"NATIVE"
"MUECOM",5,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,"NATIVE"
"OXAEXI",5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,"NATIVE"
"PHLPRA",NA,NA,5,NA,2,NA,NA,NA,NA,NA,5,NA,"ALIEN"
"PLALAN",2,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,"ALIEN"
"POAANN",3,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,"ALIEN"
"POACIT",NA,NA,2,NA,NA,NA,2,NA,5,NA,NA,NA,"NATIVE"
"POAPRA",4,4,NA,NA,2,4,NA,NA,NA,NA,5,NA,"ALIEN"
"PTEESC",4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,"NATIVE"
"RANREP",4,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,"ALIEN"
"RUMACE",5,NA,NA,NA,3,NA,NA,NA,NA,NA,2,3,"ALIEN"
"RYTCAE",5,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"RYTCLA",6,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,"NATIVE"
"RYTGRA",2,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,"NATIVE"
"RYTRAC",3,5,NA,NA,3,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"RYTUNA",NA,NA,3,NA,NA,NA,3,NA,2,NA,NA,NA,"NATIVE"
"SAGAPE",3,NA,NA,NA,2,3,NA,NA,NA,NA,2,NA,"ALIEN"
"SAGPRO",NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,"ALIEN"
"SILGAL",NA,NA,2,NA,NA,NA,2,NA,NA,NA,4,NA,"ALIEN"
"SILMAR",NA,NA,2,NA,3,NA,NA,NA,NA,NA,2,NA,"ALIEN"
"SISOFF",3,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,"ALIEN"
"STEMED",NA,NA,4,NA,3,NA,NA,NA,NA,NA,4,NA,"ALIEN"
"TAROFF",2,2,NA,NA,2,2,NA,NA,2,2,NA,NA,"ALIEN"
"TRIDUB",5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"TRIGLO",4,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"TRIPRA",5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,"ALIEN"
"TRIREP",2,4,NA,NA,2,3,NA,NA,5,NA,NA,NA,"ALIEN"
"TRISTT",3,5,NA,NA,4,5,NA,NA,5,NA,NA,NA,"ALIEN"
"TRISUB",4,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,"ALIEN"
"ULEEUR",NA,NA,3,NA,NA,NA,3,NA,NA,NA,3,NA,"ALIEN"
"VERARV",4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,"ALIEN"
"VICSAT",4,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,"ALIEN"
"VIOCUN",NA,NA,4,NA,NA,NA,2,NA,2,NA,NA,NA,"NATIVE"
"VULBRO",3,NA,NA,NA,6,NA,NA,NA,2,5,NA,NA,"ALIEN"
"WAHGRA",NA,NA,2,3,NA,NA,2,NA,NA,NA,2,NA,"NATIVE"
